system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.039626788347959525,0.03752816095948219,0.04067610204219818,0.04067610204219818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.03331428859382868,0.03214545547962189,0.03401558846235275,0.03401558846235275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.04067610204219818,0.04067610204219818,0.04067610204219818,0.04067610204219818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.02911449819803238,0.025670692324638367,0.025670692324638367,0.025670692324638367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.03401558846235275,0.03401558846235275,0.03401558846235275,0.03401558846235275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.025670692324638367,0.025670692324638367,0.025670692324638367,0.025670692324638367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.032651595771312714,0.032651595771312714,0.032651595771312714,0.032651595771312714,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.03837922587990761,0.03837922587990761,0.03837922587990761,0.03837922587990761,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.01795099303126335,0.01795099303126335,0.01795099303126335,0.01795099303126335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.03837922587990761,0.03837922587990761,0.03837922587990761,0.03837922587990761,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.03149278461933136,0.03149278461933136,0.03149278461933136,0.03149278461933136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.03306071220764092,0.032651595771312714,0.032651595771312714,0.032651595771312714,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.03401558846235275,0.03401558846235275,0.03401558846235275,0.03401558846235275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.025670692324638367,0.025670692324638367,0.025670692324638367,0.025670692324638367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.032651595771312714,0.032651595771312714,0.032651595771312714,0.032651595771312714,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.021766993288810436,0.014964116737246513,0.014964116737246513,0.032651595771312714,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.028156347572803497,0.028156347572803497,0.028156347572803497,0.028156347572803497,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.01795099303126335,0.01795099303126335,0.01795099303126335,0.01795099303126335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.032068770844489336,0.028156347572803497,0.028156347572803497,0.04067610204219818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.025670692324638367,0.025670692324638367,0.025670692324638367,0.025670692324638367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.03852389380335808,0.03852389380335808,0.03852389380335808,0.03852389380335808,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,0.032651595771312714,0.032651595771312714,0.032651595771312714,0.032651595771312714,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,0.04288972169160843,0.04288972169160843,0.04288972169160843,0.04288972169160843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,0.025670692324638367,0.025670692324638367,0.025670692324638367,0.025670692324638367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,0.025670692324638367,0.025670692324638367,0.025670692324638367,0.025670692324638367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,0.03149278461933136,0.03149278461933136,0.03149278461933136,0.03149278461933136,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,0.04067610204219818,0.04067610204219818,0.04067610204219818,0.04067610204219818,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,0.041706503927707674,0.04288972169160843,0.04288972169160843,0.04288972169160843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,0.035166111588478086,0.03149278461933136,0.03149278461933136,0.04067610204219818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,0.019385986495763063,0.014964116737246513,0.014964116737246513,0.023807856254279613,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,0.028156347572803497,0.028156347572803497,0.028156347572803497,0.028156347572803497,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,0.03670090379623266,0.03401558846235275,0.03837922587990761,0.03837922587990761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,0.03401558846235275,0.03401558846235275,0.03401558846235275,0.03401558846235275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,0.03695324199895064,0.03852389380335808,0.03852389380335808,0.03852389380335808,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,398641.921875,4212912.25,0.032651595771312714,0.032651595771312714,0.032651595771312714,0.032651595771312714,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,398626.328125,4212912.25,0.014964116737246513,0.014964116737246513,0.014964116737246513,0.014964116737246513,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,398604.078125,4212912.25,0.02517261187760876,0.0038105607964098454,0.03852389380335808,0.03852389380335808,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,398713.28125,4212913.75,0.027014252084952135,0.025670692324638367,0.025670692324638367,0.025670692324638367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,398739.0,4212913.75,0.04067610204219818,0.04067610204219818,0.04067610204219818,0.04067610204219818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,398748.6875,4212913.75,0.028156347572803497,0.028156347572803497,0.028156347572803497,0.028156347572803497,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,398744.859375,4212914.0,0.036502850552399956,0.028156347572803497,0.04067610204219818,0.04067610204219818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,398640.109375,4212914.25,0.032651595771312714,0.032651595771312714,0.032651595771312714,0.032651595771312714,"{""type"":""MultiPoint"",""coordinates"":[]}"
