system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.15382678310076395,0.14964336156845093,0.15591849386692047,0.15591849386692047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.1903652921319008,0.1889084428548813,0.1912394016981125,0.1912394016981125,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.15591849386692047,0.15591849386692047,0.15591849386692047,0.15591849386692047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.19602138400077818,0.19534805417060852,0.19534805417060852,0.19534805417060852,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.1912394016981125,0.1912394016981125,0.1912394016981125,0.1912394016981125,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.19534805417060852,0.19534805417060852,0.19534805417060852,0.19534805417060852,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.18611934781074524,0.18611934781074524,0.18611934781074524,0.18611934781074524,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.17406032979488373,0.17406032979488373,0.17406032979488373,0.17406032979488373,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.1384732872247696,0.1384732872247696,0.1384732872247696,0.1384732872247696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.17406032979488373,0.17406032979488373,0.17406032979488373,0.17406032979488373,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.1535179615020752,0.1535179615020752,0.1535179615020752,0.1535179615020752,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.18525798938104085,0.18611934781074524,0.18611934781074524,0.18611934781074524,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.1912394016981125,0.1912394016981125,0.1912394016981125,0.1912394016981125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.19534805417060852,0.19534805417060852,0.19534805417060852,0.19534805417060852,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.18611934781074524,0.18611934781074524,0.18611934781074524,0.18611934781074524,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.18846998077172497,0.18611934781074524,0.18993912637233734,0.18993912637233734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.15316574275493622,0.15316574275493622,0.15316574275493622,0.15316574275493622,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.1384732872247696,0.1384732872247696,0.1384732872247696,0.1384732872247696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.1540259774774313,0.15316574275493622,0.15316574275493622,0.15591849386692047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.19534805417060852,0.19534805417060852,0.19534805417060852,0.19534805417060852,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.2156153917312622,0.2156153917312622,0.2156153917312622,0.2156153917312622,"{""type"":""MultiPoint"",""coordinates"":[]}"
