system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,-0.03328634798526764,-0.062393590807914734,-0.018732726573944092,-0.018732726573944092,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,-0.03752784989774227,-0.03793518245220184,-0.03793518245220184,-0.03684896230697632,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,-0.018732726573944092,-0.018732726573944092,-0.018732726573944092,-0.018732726573944092,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,-0.045514225214719775,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,-0.03793518245220184,-0.03793518245220184,-0.03793518245220184,-0.03793518245220184,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,-0.030995750799775124,-0.030995750799775124,-0.030995750799775124,-0.030995750799775124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,-0.026330458000302315,-0.026330458000302315,-0.026330458000302315,-0.026330458000302315,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.03857075423002243,0.03857075423002243,0.03857075423002243,0.03857075423002243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,-0.026330458000302315,-0.026330458000302315,-0.026330458000302315,-0.026330458000302315,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,-0.026967529207468033,-0.026967529207468033,-0.026967529207468033,-0.026967529207468033,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,-0.030662515599812777,-0.030995750799775124,-0.030995750799775124,-0.030995750799775124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,-0.03793518245220184,-0.03793518245220184,-0.03793518245220184,-0.03793518245220184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,-0.030995750799775124,-0.030995750799775124,-0.030995750799775124,-0.030995750799775124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,-0.02535635705750722,-0.030995750799775124,-0.021831735968589783,-0.021831735968589783,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,-0.006186652462929487,-0.006186652462929487,-0.006186652462929487,-0.006186652462929487,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.03857075423002243,0.03857075423002243,0.03857075423002243,0.03857075423002243,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,-0.010107300622621551,-0.018732726573944092,-0.006186652462929487,-0.006186652462929487,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,-0.021987026557326317,-0.021987026557326317,-0.021987026557326317,-0.021987026557326317,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,-0.030995750799775124,-0.030995750799775124,-0.030995750799775124,-0.030995750799775124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,-0.04619015380740166,-0.04619015380740166,-0.04619015380740166,-0.04619015380740166,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,-0.0453452430665493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,-0.026967529207468033,-0.026967529207468033,-0.026967529207468033,-0.026967529207468033,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,-0.018732726573944092,-0.018732726573944092,-0.018732726573944092,-0.018732726573944092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,-0.04508949096004168,-0.04619015380740166,-0.04619015380740166,-0.04619015380740166,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,-0.023673608154058456,-0.026967529207468033,-0.026967529207468033,-0.018732726573944092,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,-0.024122739676386118,-0.026413743384182453,-0.021831735968589783,-0.021831735968589783,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,-0.006186652462929487,-0.006186652462929487,-0.006186652462929487,-0.006186652462929487,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,-0.030793813558725208,-0.03793518245220184,-0.026330458000302315,-0.026330458000302315,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,-0.03793518245220184,-0.03793518245220184,-0.03793518245220184,-0.03793518245220184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,-0.02197667385141055,-0.021987026557326317,-0.021987026557326317,-0.021987026557326317,"{""type"":""MultiPoint"",""coordinates"":[]}"
