system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.2704629600048065,0.26560699939727783,0.26560699939727783,0.2801748812198639,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.3186748027801513,0.26393628120422363,0.26393628120422363,0.40990567207336426,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.26560699939727783,0.26560699939727783,0.26560699939727783,0.26560699939727783,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.2534897744655609,0.2480286806821823,0.2480286806821823,0.2480286806821823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.26393628120422363,0.26393628120422363,0.26393628120422363,0.26393628120422363,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.2480286806821823,0.2480286806821823,0.2480286806821823,0.2480286806821823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.25636056065559387,0.25636056065559387,0.25636056065559387,0.25636056065559387,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.2302166372537613,0.2302166372537613,0.2302166372537613,0.2302166372537613,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.25935229659080505,0.25935229659080505,0.25935229659080505,0.25935229659080505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.2302166372537613,0.2302166372537613,0.2302166372537613,0.2302166372537613,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.282468318939209,0.282468318939209,0.282468318939209,0.282468318939209,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.254493137555463,0.25636056065559387,0.25636056065559387,0.25636056065559387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.26393628120422363,0.26393628120422363,0.26393628120422363,0.26393628120422363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.2480286806821823,0.2480286806821823,0.2480286806821823,0.2480286806821823,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.25636056065559387,0.25636056065559387,0.25636056065559387,0.25636056065559387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.24603535808049715,0.2395821064710617,0.2395821064710617,0.25636056065559387,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.28598591685295105,0.28598591685295105,0.28598591685295105,0.28598591685295105,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.25935229659080505,0.25935229659080505,0.25935229659080505,0.25935229659080505,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.27961750514805317,0.26560699939727783,0.28598591685295105,0.28598591685295105,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.2480286806821823,0.2480286806821823,0.2480286806821823,0.2480286806821823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.277238667011261,0.277238667011261,0.277238667011261,0.277238667011261,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,0.25636056065559387,0.25636056065559387,0.25636056065559387,0.25636056065559387,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,0.2753341495990753,0.2753341495990753,0.2753341495990753,0.2753341495990753,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,0.2480286806821823,0.2480286806821823,0.2480286806821823,0.2480286806821823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,0.2480286806821823,0.2480286806821823,0.2480286806821823,0.2480286806821823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,0.282468318939209,0.282468318939209,0.282468318939209,0.282468318939209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,0.26560699939727783,0.26560699939727783,0.26560699939727783,0.26560699939727783,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,0.27381443381309506,0.2753341495990753,0.2753341495990753,0.2753341495990753,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,0.27572379112243656,0.26560699939727783,0.282468318939209,0.282468318939209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,0.24377672001719472,0.2395821064710617,0.2395821064710617,0.2479713335633278,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,0.28598591685295105,0.28598591685295105,0.28598591685295105,0.28598591685295105,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,0.2431857310808622,0.2302166372537613,0.2302166372537613,0.26393628120422363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,0.26393628120422363,0.26393628120422363,0.26393628120422363,0.26393628120422363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,0.2747282296419144,0.277238667011261,0.277238667011261,0.277238667011261,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,398641.921875,4212912.25,0.25636056065559387,0.25636056065559387,0.25636056065559387,0.25636056065559387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,398626.328125,4212912.25,0.2395821064710617,0.2395821064710617,0.2395821064710617,0.2395821064710617,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,398604.078125,4212912.25,0.28968760141959554,0.277238667011261,0.277238667011261,0.3096058964729309,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,398713.28125,4212913.75,0.25597628951072693,0.2480286806821823,0.2480286806821823,0.2480286806821823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,398739.0,4212913.75,0.26560699939727783,0.26560699939727783,0.26560699939727783,0.26560699939727783,"{""type"":""MultiPoint"",""coordinates"":[]}"
