system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.22967337568600973,0.20838136970996857,0.20838136970996857,0.27225738763809204,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.23678638413548472,0.19662290811538696,0.19662290811538696,0.3037255108356476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.20838136970996857,0.20838136970996857,0.20838136970996857,0.20838136970996857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.2055315911769867,0.20235446095466614,0.20235446095466614,0.20235446095466614,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.19662290811538696,0.19662290811538696,0.19662290811538696,0.19662290811538696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.20235446095466614,0.20235446095466614,0.20235446095466614,0.20235446095466614,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.20044182240962982,0.20044182240962982,0.20044182240962982,0.20044182240962982,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.17635232210159302,0.17635232210159302,0.17635232210159302,0.17635232210159302,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.30954667925834656,0.30954667925834656,0.30954667925834656,0.30954667925834656,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.17635232210159302,0.17635232210159302,0.17635232210159302,0.17635232210159302,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.22776299715042114,0.22776299715042114,0.22776299715042114,0.22776299715042114,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.19872114381619863,0.20044182240962982,0.20044182240962982,0.20044182240962982,"{""type"":""MultiPoint"",""coordinates"":[]}"
