system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.27674372990926105,0.2760097086429596,0.2760097086429596,0.278211772441864,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.24373013712465763,0.22451390326023102,0.22451390326023102,0.27575719356536865,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.2760097086429596,0.2760097086429596,0.2760097086429596,0.2760097086429596,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.23272803723812102,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.22451390326023102,0.22451390326023102,0.22451390326023102,0.22451390326023102,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.22987012565135956,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.239536315202713,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.2320747822523117,0.2320747822523117,0.2320747822523117,0.2320747822523117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.26849600672721863,0.26849600672721863,0.26849600672721863,0.26849600672721863,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.2320747822523117,0.2320747822523117,0.2320747822523117,0.2320747822523117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.2771795392036438,0.2771795392036438,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.23900334856339864,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.22451390326023102,0.22451390326023102,0.22451390326023102,0.22451390326023102,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.22987012565135956,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.239536315202713,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.2376659122797159,0.2364969104528427,0.2364969104528427,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.3049776554107666,0.3049776554107666,0.3049776554107666,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.26849600672721863,0.26849600672721863,0.26849600672721863,0.26849600672721863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.2959251720458269,0.2760097086429596,0.3049776554107666,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.22987012565135956,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.27215999364852905,0.27215999364852905,0.27215999364852905,0.27215999364852905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,0.239536315202713,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,0.24415968358516693,0.24415968358516693,0.24415968358516693,0.24415968358516693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,0.22987012565135956,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,0.22987012565135956,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,0.2771795392036438,0.2771795392036438,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,0.2760097086429596,0.2760097086429596,0.2760097086429596,0.2760097086429596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,0.2415402462085088,0.24415968358516693,0.24415968358516693,0.24415968358516693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,0.2767116069793701,0.2760097086429596,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,0.2372567616403103,0.2364969104528427,0.2364969104528427,0.23801661282777786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,0.3049776554107666,0.3049776554107666,0.3049776554107666,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,0.2291667518707422,0.22451390326023102,0.2320747822523117,0.2320747822523117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,0.22451390326023102,0.22451390326023102,0.22451390326023102,0.22451390326023102,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,0.2697824547688166,0.27215999364852905,0.27215999364852905,0.27215999364852905,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,398641.921875,4212912.25,0.239536315202713,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,398626.328125,4212912.25,0.2364969104528427,0.2364969104528427,0.2364969104528427,0.2364969104528427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,398604.078125,4212912.25,0.2880299251813155,0.27215999364852905,0.27215999364852905,0.3134218156337738,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,398713.28125,4212913.75,0.2407876826249636,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,398739.0,4212913.75,0.2760097086429596,0.2760097086429596,0.2760097086429596,0.2760097086429596,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,398748.6875,4212913.75,0.3049776554107666,0.3049776554107666,0.3049776554107666,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,398744.859375,4212914.0,0.28566569089889526,0.2760097086429596,0.2760097086429596,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,398640.109375,4212914.25,0.239536315202713,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,398727.609375,4212914.25,0.2771795392036438,0.2771795392036438,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,398720.953125,4212914.25,0.2771795392036438,0.2771795392036438,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,398620.484375,4212914.5,0.24472685272877032,0.2364969104528427,0.2364969104528427,0.2364969104528427,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,398622.84375,4212914.75,0.2364969104528427,0.2364969104528427,0.2364969104528427,0.2364969104528427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,398683.546875,4212914.75,0.23802037723362446,0.22451390326023102,0.24415968358516693,0.24415968358516693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,398692.78125,4212914.75,0.24415968358516693,0.24415968358516693,0.24415968358516693,0.24415968358516693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,398631.0625,4212915.25,0.2364969104528427,0.2364969104528427,0.2364969104528427,0.2364969104528427,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,398649.703125,4212915.5,0.23860362358391285,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,398729.6875,4212915.75,0.2767116069793701,0.2760097086429596,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,398665.0,4212916.25,0.23144470900297168,0.2320747822523117,0.2320747822523117,0.2320747822523117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,398763.90625,4212917.75,0.26849600672721863,0.26849600672721863,0.26849600672721863,0.26849600672721863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,398712.546875,4212917.75,0.2357838023453951,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,398754.171875,4212918.0,0.3049776554107666,0.3049776554107666,0.3049776554107666,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,398703.578125,4212918.25,0.22987012565135956,0.22987012565135956,0.22987012565135956,0.22987012565135956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,398720.53125,4212918.5,0.2771795392036438,0.2771795392036438,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,398740.53125,4212918.75,0.2760097086429596,0.2760097086429596,0.2760097086429596,0.2760097086429596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,398747.484375,4212918.75,0.30316715873777866,0.3049776554107666,0.3049776554107666,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,398758.203125,4212918.75,0.3049776554107666,0.3049776554107666,0.3049776554107666,0.3049776554107666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,398693.765625,4212918.75,0.24415968358516693,0.24415968358516693,0.24415968358516693,0.24415968358516693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,398728.796875,4212918.75,0.27701242055211744,0.2771795392036438,0.2771795392036438,0.2771795392036438,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,398677.109375,4212919.0,0.22451390326023102,0.22451390326023102,0.22451390326023102,0.22451390326023102,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,398685.21875,4212919.0,0.24415968358516693,0.24415968358516693,0.24415968358516693,0.24415968358516693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,398630.65625,4212919.75,0.2364969104528427,0.2364969104528427,0.2364969104528427,0.2364969104528427,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,398765.84375,4212920.0,0.26849600672721863,0.26849600672721863,0.26849600672721863,0.26849600672721863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,398658.75,4212920.25,0.2320747822523117,0.2320747822523117,0.2320747822523117,0.2320747822523117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,398649.5625,4212920.25,0.23860362358391285,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,398607.140625,4212920.75,0.27215999364852905,0.27215999364852905,0.27215999364852905,0.27215999364852905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,398640.234375,4212920.75,0.239536315202713,0.239536315202713,0.239536315202713,0.239536315202713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,398613.546875,4212921.5,0.27215999364852905,0.27215999364852905,0.27215999364852905,0.27215999364852905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,398603.234375,4212921.5,0.29966787497202557,0.27215999364852905,0.3134218156337738,0.3134218156337738,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,398622.171875,4212921.75,0.2364969104528427,0.2364969104528427,0.2364969104528427,0.2364969104528427,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,398603.796875,4212924.75,0.2904946506023407,0.26861488819122314,0.2904946506023407,0.31237441301345825,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,398712.6875,4212925.25,0.2515934277325868,0.24859140813350677,0.24859140813350677,0.24859140813350677,"{""type"":""MultiPoint"",""coordinates"":[]}"
