system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.5982010364532471,0.5321133136749268,0.6312448978424072,0.6312448978424072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.6626410037279129,0.6494355201721191,0.6705642938613892,0.6705642938613892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.6312448978424072,0.6312448978424072,0.6312448978424072,0.6312448978424072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.6539811730384827,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.6705642938613892,0.6705642938613892,0.6705642938613892,0.6705642938613892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.6523082256317139,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.5453311800956726,0.5453311800956726,0.5453311800956726,0.5453311800956726,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.5542575120925903,0.5542575120925903,0.5542575120925903,0.5542575120925903,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.4540705680847168,0.4540705680847168,0.4540705680847168,0.4540705680847168,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.5542575120925903,0.5542575120925903,0.5542575120925903,0.5542575120925903,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.6355544328689575,0.6355544328689575,0.6355544328689575,0.6355544328689575,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.5459687752383096,0.5453311800956726,0.5453311800956726,0.5453311800956726,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.6705642938613892,0.6705642938613892,0.6705642938613892,0.6705642938613892,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.6523082256317139,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.5453311800956726,0.5453311800956726,0.5453311800956726,0.5453311800956726,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.5679540955103362,0.5453311800956726,0.5820934176445007,0.5820934176445007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.5929070115089417,0.5929070115089417,0.5929070115089417,0.5929070115089417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.4540705680847168,0.4540705680847168,0.4540705680847168,0.4540705680847168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.6048876009881496,0.5929070115089417,0.5929070115089417,0.6312448978424072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.6523082256317139,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.6148563027381897,0.6148563027381897,0.6148563027381897,0.6148563027381897,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,0.5453311800956726,0.5453311800956726,0.5453311800956726,0.5453311800956726,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,0.6606729626655579,0.6606729626655579,0.6606729626655579,0.6606729626655579,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,0.6523082256317139,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,0.6523082256317139,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,0.6355544328689575,0.6355544328689575,0.6355544328689575,0.6355544328689575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,0.6312448978424072,0.6312448978424072,0.6312448978424072,0.6312448978424072,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,0.661991806825002,0.6606729626655579,0.6606729626655579,0.6606729626655579,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,0.6338306188583374,0.6312448978424072,0.6355544328689575,0.6355544328689575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,0.5729028582572937,0.5637122988700867,0.5820934176445007,0.5820934176445007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,0.5929070115089417,0.5929070115089417,0.5929070115089417,0.5929070115089417,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,0.5989908896959744,0.5542575120925903,0.5542575120925903,0.6705642938613892,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,0.6705642938613892,0.6705642938613892,0.6705642938613892,0.6705642938613892,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,0.6126721103986105,0.6148563027381897,0.6148563027381897,0.6148563027381897,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,398641.921875,4212912.25,0.5453311800956726,0.5453311800956726,0.5453311800956726,0.5453311800956726,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,398626.328125,4212912.25,0.5820934176445007,0.5820934176445007,0.5820934176445007,0.5820934176445007,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,398604.078125,4212912.25,0.7139061322579018,0.6148563027381897,0.6148563027381897,0.8723858594894409,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,398713.28125,4212913.75,0.6484419657633855,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,398739.0,4212913.75,0.6312448978424072,0.6312448978424072,0.6312448978424072,0.6312448978424072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,398748.6875,4212913.75,0.5929070115089417,0.5929070115089417,0.5929070115089417,0.5929070115089417,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,398744.859375,4212914.0,0.6184656023979187,0.5929070115089417,0.6312448978424072,0.6312448978424072,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,398640.109375,4212914.25,0.5453311800956726,0.5453311800956726,0.5453311800956726,0.5453311800956726,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,398727.609375,4212914.25,0.6355544328689575,0.6355544328689575,0.6355544328689575,0.6355544328689575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,398720.953125,4212914.25,0.6355544328689575,0.6355544328689575,0.6355544328689575,0.6355544328689575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,398620.484375,4212914.5,0.5896540834353521,0.5820934176445007,0.5820934176445007,0.5820934176445007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,398622.84375,4212914.75,0.5820934176445007,0.5820934176445007,0.5820934176445007,0.5820934176445007,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,398683.546875,4212914.75,0.6637640036642551,0.6606729626655579,0.6606729626655579,0.6705642938613892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,398692.78125,4212914.75,0.6606729626655579,0.6606729626655579,0.6606729626655579,0.6606729626655579,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,398631.0625,4212915.25,0.5820934176445007,0.5820934176445007,0.5820934176445007,0.5820934176445007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,398649.703125,4212915.5,0.5464469715952873,0.5453311800956726,0.5453311800956726,0.5453311800956726,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,398729.6875,4212915.75,0.6338306188583375,0.6312448978424072,0.6355544328689575,0.6355544328689575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,398665.0,4212916.25,0.563949743906657,0.5542575120925903,0.5542575120925903,0.5542575120925903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,398763.90625,4212917.75,0.4540705680847168,0.4540705680847168,0.4540705680847168,0.4540705680847168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,398712.546875,4212917.75,0.6502140015363693,0.6523082256317139,0.6523082256317139,0.6523082256317139,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,398754.171875,4212918.0,0.5929070115089417,0.5929070115089417,0.5929070115089417,0.5929070115089417,"{""type"":""MultiPoint"",""coordinates"":[]}"
