system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.4392662644386291,0.3917335569858551,0.3917335569858551,0.5343316793441772,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.48200288042426104,0.3937617242336273,0.3937617242336273,0.6290714740753174,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.3917335569858551,0.3917335569858551,0.3917335569858551,0.3917335569858551,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.4072700619697571,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.3937617242336273,0.3937617242336273,0.3937617242336273,0.3937617242336273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.4008183479309082,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.35273802280426025,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.33485302329063416,0.33485302329063416,0.33485302329063416,0.33485302329063416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.41043820977211,0.41043820977211,0.41043820977211,0.41043820977211,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.33485302329063416,0.33485302329063416,0.33485302329063416,0.33485302329063416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.41202467679977417,0.41202467679977417,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.35146052283900125,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.3937617242336273,0.3937617242336273,0.3937617242336273,0.3937617242336273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.4008183479309082,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.35273802280426025,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.3645997872719398,0.35273802280426025,0.3720133900642395,0.3720133900642395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.42938289046287537,0.42938289046287537,0.42938289046287537,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.41043820977211,0.41043820977211,0.41043820977211,0.41043820977211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.41761747375130653,0.3917335569858551,0.42938289046287537,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.4008183479309082,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.4451819062232971,0.4451819062232971,0.4451819062232971,0.4451819062232971,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,0.35273802280426025,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,0.4330769181251526,0.4330769181251526,0.4330769181251526,0.4330769181251526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,0.4008183479309082,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,0.4008183479309082,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,0.41202467679977417,0.41202467679977417,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,0.3917335569858551,0.3917335569858551,0.3917335569858551,0.3917335569858551,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,0.4278348922729492,0.4330769181251526,0.4330769181251526,0.4330769181251526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,0.4039082288742065,0.3917335569858551,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,0.3671945482492447,0.3623757064342499,0.3720133900642395,0.3720133900642395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,0.42938289046287537,0.42938289046287537,0.42938289046287537,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,0.3575102159610162,0.33485302329063416,0.33485302329063416,0.3937617242336273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,0.3937617242336273,0.3937617242336273,0.3937617242336273,0.3937617242336273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,0.44030400514602663,0.4451819062232971,0.4451819062232971,0.4451819062232971,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,398641.921875,4212912.25,0.35273802280426025,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,398626.328125,4212912.25,0.3720133900642395,0.3720133900642395,0.3720133900642395,0.3720133900642395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,398604.078125,4212912.25,0.5132268208723801,0.4451819062232971,0.4451819062232971,0.6220986843109131,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,398713.28125,4212913.75,0.40340442382372343,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,398739.0,4212913.75,0.3917335569858551,0.3917335569858551,0.3917335569858551,0.3917335569858551,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,398748.6875,4212913.75,0.42938289046287537,0.42938289046287537,0.42938289046287537,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,398744.859375,4212914.0,0.40428333481152856,0.3917335569858551,0.3917335569858551,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,398640.109375,4212914.25,0.35273802280426025,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,398727.609375,4212914.25,0.41202467679977417,0.41202467679977417,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,398720.953125,4212914.25,0.41202467679977417,0.41202467679977417,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,398620.484375,4212914.5,0.38889843225479126,0.3720133900642395,0.3720133900642395,0.3720133900642395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,398622.84375,4212914.75,0.3720133900642395,0.3720133900642395,0.3720133900642395,0.3720133900642395,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,398683.546875,4212914.75,0.42079092003405094,0.3937617242336273,0.4330769181251526,0.4330769181251526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,398692.78125,4212914.75,0.4330769181251526,0.4330769181251526,0.4330769181251526,0.4330769181251526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,398631.0625,4212915.25,0.3720133900642395,0.3720133900642395,0.3720133900642395,0.3720133900642395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,398649.703125,4212915.5,0.350502397865057,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,398729.6875,4212915.75,0.4039082288742065,0.3917335569858551,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,398665.0,4212916.25,0.3397620817025503,0.33485302329063416,0.33485302329063416,0.33485302329063416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,398763.90625,4212917.75,0.41043820977211,0.41043820977211,0.41043820977211,0.41043820977211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,398712.546875,4212917.75,0.40221913903951645,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,398754.171875,4212918.0,0.42938289046287537,0.42938289046287537,0.42938289046287537,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,398703.578125,4212918.25,0.4008183479309082,0.4008183479309082,0.4008183479309082,0.4008183479309082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,398720.53125,4212918.5,0.41202467679977417,0.41202467679977417,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,398740.53125,4212918.75,0.3917335569858551,0.3917335569858551,0.3917335569858551,0.3917335569858551,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,398747.484375,4212918.75,0.42702980712056154,0.42938289046287537,0.42938289046287537,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,398758.203125,4212918.75,0.42938289046287537,0.42938289046287537,0.42938289046287537,0.42938289046287537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,398693.765625,4212918.75,0.4330769181251526,0.4330769181251526,0.4330769181251526,0.4330769181251526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,398728.796875,4212918.75,0.40912594539778574,0.41202467679977417,0.41202467679977417,0.41202467679977417,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,398677.109375,4212919.0,0.3937617242336273,0.3937617242336273,0.3937617242336273,0.3937617242336273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,398685.21875,4212919.0,0.4330769181251526,0.4330769181251526,0.4330769181251526,0.4330769181251526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,398630.65625,4212919.75,0.3720133900642395,0.3720133900642395,0.3720133900642395,0.3720133900642395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,398765.84375,4212920.0,0.41043820977211,0.41043820977211,0.41043820977211,0.41043820977211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,398658.75,4212920.25,0.33485302329063416,0.33485302329063416,0.33485302329063416,0.33485302329063416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,398649.5625,4212920.25,0.350502397865057,0.35273802280426025,0.35273802280426025,0.35273802280426025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,398607.140625,4212920.75,0.4451819062232971,0.4451819062232971,0.4451819062232971,0.4451819062232971,"{""type"":""MultiPoint"",""coordinates"":[]}"
