system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.2256336361169815,0.22317571938037872,0.2268625944852829,0.2268625944852829,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.23780507780611515,0.19751740992069244,0.19751740992069244,0.30495119094848633,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.2268625944852829,0.2268625944852829,0.2268625944852829,0.2268625944852829,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.22291344702243807,0.21934516727924347,0.21934516727924347,0.21934516727924347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.19751740992069244,0.19751740992069244,0.19751740992069244,0.19751740992069244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.21934516727924347,0.21934516727924347,0.21934516727924347,0.21934516727924347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.21853579580783844,0.21853579580783844,0.21853579580783844,0.21853579580783844,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.18159152567386627,0.18159152567386627,0.18159152567386627,0.18159152567386627,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.3214362859725952,0.3214362859725952,0.3214362859725952,0.3214362859725952,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.18159152567386627,0.18159152567386627,0.18159152567386627,0.18159152567386627,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.24701939523220062,0.24701939523220062,0.24701939523220062,0.24701939523220062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.21589691936969757,0.21853579580783844,0.21853579580783844,0.21853579580783844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.19751740992069244,0.19751740992069244,0.19751740992069244,0.19751740992069244,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.21934516727924347,0.21934516727924347,0.21934516727924347,0.21934516727924347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.21853579580783844,0.21853579580783844,0.21853579580783844,0.21853579580783844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.20657762770469373,0.19910377264022827,0.19910377264022827,0.21853579580783844,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.2842943072319031,0.2842943072319031,0.2842943072319031,0.2842943072319031,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.3214362859725952,0.3214362859725952,0.3214362859725952,0.3214362859725952,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.26634689699858427,0.2268625944852829,0.2842943072319031,0.2842943072319031,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.21934516727924347,0.21934516727924347,0.21934516727924347,0.21934516727924347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.23439480364322662,0.23439480364322662,0.23439480364322662,0.23439480364322662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,0.21853579580783844,0.21853579580783844,0.21853579580783844,0.21853579580783844,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,0.23718656599521637,0.23718656599521637,0.23718656599521637,0.23718656599521637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,0.21934516727924347,0.21934516727924347,0.21934516727924347,0.21934516727924347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,0.21934516727924347,0.21934516727924347,0.21934516727924347,0.21934516727924347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,0.24701939523220062,0.24701939523220062,0.24701939523220062,0.24701939523220062,"{""type"":""MultiPoint"",""coordinates"":[]}"
