system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,-0.03938573102156321,-0.040157634764909744,-0.040157634764909744,-0.03784192353487015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,-0.018832885427400466,-0.027274947613477707,-0.027274947613477707,-0.004762781783938408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,-0.040157634764909744,-0.040157634764909744,-0.040157634764909744,-0.040157634764909744,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,-0.034231470152735706,-0.035953618586063385,-0.035953618586063385,-0.035953618586063385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,-0.027274947613477707,-0.027274947613477707,-0.027274947613477707,-0.027274947613477707,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,-0.035953618586063385,-0.035953618586063385,-0.035953618586063385,-0.035953618586063385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,-0.02164986915886402,-0.02164986915886402,-0.02164986915886402,-0.02164986915886402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,-0.01739107258617878,-0.01739107258617878,-0.01739107258617878,-0.01739107258617878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.034678421914577484,0.034678421914577484,0.034678421914577484,0.034678421914577484,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,-0.01739107258617878,-0.01739107258617878,-0.01739107258617878,-0.01739107258617878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,-0.036533091217279434,-0.036533091217279434,-0.036533091217279434,-0.036533091217279434,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,-0.021345669403672215,-0.02164986915886402,-0.02164986915886402,-0.02164986915886402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,-0.027274947613477707,-0.027274947613477707,-0.027274947613477707,-0.027274947613477707,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,-0.035953618586063385,-0.035953618586063385,-0.035953618586063385,-0.035953618586063385,"{""type"":""MultiPoint"",""coordinates"":[]}"
