system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,-0.03564568236470223,-0.060530707240104675,-0.023203169927001,-0.023203169927001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.006669574533589183,-0.011656633578240871,-0.011656633578240871,0.03721325471997261,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,-0.023203169927001,-0.023203169927001,-0.023203169927001,-0.023203169927001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,-0.017121013626456263,-0.018230639398097992,-0.018230639398097992,-0.018230639398097992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,-0.011656633578240871,-0.011656633578240871,-0.011656633578240871,-0.011656633578240871,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,-0.018230639398097992,-0.018230639398097992,-0.018230639398097992,-0.018230639398097992,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,-0.008911301381886005,-0.008911301381886005,-0.008911301381886005,-0.008911301381886005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,-0.0022990084253251553,-0.0022990084253251553,-0.0022990084253251553,-0.0022990084253251553,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.027392322197556496,0.027392322197556496,0.027392322197556496,0.027392322197556496,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,-0.0022990084253251553,-0.0022990084253251553,-0.0022990084253251553,-0.0022990084253251553,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,-0.014448028989136219,-0.014448028989136219,-0.014448028989136219,-0.014448028989136219,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,-0.00843899474213166,-0.008911301381886005,-0.008911301381886005,-0.008911301381886005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,-0.011656633578240871,-0.011656633578240871,-0.011656633578240871,-0.011656633578240871,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,-0.018230639398097992,-0.018230639398097992,-0.018230639398097992,-0.018230639398097992,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,-0.008911301381886005,-0.008911301381886005,-0.008911301381886005,-0.008911301381886005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,-0.009802444121585442,-0.01035940833389759,-0.01035940833389759,-0.008911301381886005,"{""type"":""MultiPoint"",""coordinates"":[]}"
