system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,-0.06262724598248799,-0.06806797534227371,-0.05990688130259514,-0.05990688130259514,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,-0.04464523820206523,-0.05050860717892647,-0.05050860717892647,-0.034872956573963165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,-0.05990688130259514,-0.05990688130259514,-0.05990688130259514,-0.05990688130259514,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,-0.07021577954292298,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,-0.05050860717892647,-0.05050860717892647,-0.05050860717892647,-0.05050860717892647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,-0.03928954154253006,-0.03928954154253006,-0.03928954154253006,-0.03928954154253006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.04846077412366867,0.04846077412366867,0.04846077412366867,0.04846077412366867,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,-0.03928954154253006,-0.03928954154253006,-0.03928954154253006,-0.03928954154253006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,-0.07304469496011734,-0.07304469496011734,-0.07304469496011734,-0.07304469496011734,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,-0.03898950107395649,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,-0.05050860717892647,-0.05050860717892647,-0.05050860717892647,-0.05050860717892647,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,-0.0477374279155181,-0.05321930721402168,-0.05321930721402168,-0.03896642103791237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,7.952286396175623E-4,7.952286396175623E-4,7.952286396175623E-4,7.952286396175623E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.04846077412366867,0.04846077412366867,0.04846077412366867,0.04846077412366867,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,-0.018174180717323907,-0.05990688130259514,7.952286396175623E-4,7.952286396175623E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,-0.03771315515041351,-0.03771315515041351,-0.03771315515041351,-0.03771315515041351,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,-0.055591702461242676,-0.055591702461242676,-0.055591702461242676,-0.055591702461242676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,-0.07387179881334305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,-0.07304469496011734,-0.07304469496011734,-0.07304469496011734,-0.07304469496011734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,-0.05990688130259514,-0.05990688130259514,-0.05990688130259514,-0.05990688130259514,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,-0.054913956423600516,-0.055591702461242676,-0.055591702461242676,-0.055591702461242676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,-0.06778956949710846,-0.07304469496011734,-0.07304469496011734,-0.05990688130259514,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,-0.049656085669994354,-0.05321930721402168,-0.05321930721402168,-0.046092864125967026,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,7.952286396175623E-4,7.952286396175623E-4,7.952286396175623E-4,7.952286396175623E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,-0.043604566787297905,-0.05050860717892647,-0.03928954154253006,-0.03928954154253006,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,-0.05050860717892647,-0.05050860717892647,-0.05050860717892647,-0.05050860717892647,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,-0.038746898621320726,-0.03771315515041351,-0.03771315515041351,-0.03771315515041351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,398641.921875,4212912.25,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,-0.03896642103791237,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,398626.328125,4212912.25,-0.05321930721402168,-0.05321930721402168,-0.05321930721402168,-0.05321930721402168,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,398604.078125,4212912.25,-0.03070924903910894,-0.03771315515041351,-0.03771315515041351,-0.019502999261021614,"{""type"":""MultiPoint"",""coordinates"":[]}"
