system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,-0.08678353826204936,-0.08889814466238022,-0.08889814466238022,-0.08255432546138763,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,-0.05447808513417839,-0.06029675900936127,-0.06029675900936127,-0.044780295342206955,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,-0.08889814466238022,-0.08889814466238022,-0.08889814466238022,-0.08889814466238022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,-0.08268619924783706,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,-0.06029675900936127,-0.06029675900936127,-0.06029675900936127,-0.06029675900936127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,-0.050403039902448654,-0.050403039902448654,-0.050403039902448654,-0.050403039902448654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,-0.04720118269324303,-0.04720118269324303,-0.04720118269324303,-0.04720118269324303,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.03639904782176018,0.03639904782176018,0.03639904782176018,0.03639904782176018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,-0.04720118269324303,-0.04720118269324303,-0.04720118269324303,-0.04720118269324303,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,-0.0981471985578537,-0.0981471985578537,-0.0981471985578537,-0.0981471985578537,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,-0.050174335816076825,-0.050403039902448654,-0.050403039902448654,-0.050403039902448654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,-0.06029675900936127,-0.06029675900936127,-0.06029675900936127,-0.06029675900936127,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,-0.050403039902448654,-0.050403039902448654,-0.050403039902448654,-0.050403039902448654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,-0.0582053498006784,-0.06308179348707199,-0.06308179348707199,-0.050403039902448654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,-0.02119000256061554,-0.02119000256061554,-0.02119000256061554,-0.02119000256061554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.03639904782176018,0.03639904782176018,0.03639904782176018,0.03639904782176018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,-0.042348796967417,-0.08889814466238022,-0.02119000256061554,-0.02119000256061554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,-0.04844650253653526,-0.04844650253653526,-0.04844650253653526,-0.04844650253653526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,-0.050403039902448654,-0.050403039902448654,-0.050403039902448654,-0.050403039902448654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,-0.06461838632822037,-0.06461838632822037,-0.06461838632822037,-0.06461838632822037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,-0.08720315247774124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,-0.0981471985578537,-0.0981471985578537,-0.0981471985578537,-0.0981471985578537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,-0.08889814466238022,-0.08889814466238022,-0.08889814466238022,-0.08889814466238022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,-0.06404216935237249,-0.06461838632822037,-0.06461838632822037,-0.06461838632822037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,-0.09444757699966431,-0.0981471985578537,-0.0981471985578537,-0.08889814466238022,"{""type"":""MultiPoint"",""coordinates"":[]}"
