system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,0.012864578515291214,0.012864578515291214,0.012864578515291214,0.012864578515291214,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.04159794747829437,-0.04159794747829437,-0.04159794747829437,-0.04159794747829437,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.03808964556083083,0.049473587423563004,0.049473587423563004,0.049473587423563004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.049473587423563004,0.049473587423563004,0.049473587423563004,0.049473587423563004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.04159794747829437,-0.04159794747829437,-0.04159794747829437,-0.04159794747829437,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.04876537621021271,-0.04876537621021271,-0.04876537621021271,-0.04876537621021271,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.03677084455266595,-0.04876537621021271,-0.04876537621021271,-0.008783604018390179,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.04876537621021271,-0.04876537621021271,-0.04876537621021271,-0.04876537621021271,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.04876537621021271,-0.04876537621021271,-0.04876537621021271,-0.04876537621021271,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.008783604018390179,-0.008783604018390179,-0.008783604018390179,-0.008783604018390179,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.05456085237009185,-0.06133762374520302,-0.06133762374520302,-0.03761892393231392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.07371595501899719,-0.07371595501899719,-0.07371595501899719,-0.07371595501899719,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.028361015021800995,-0.028361015021800995,-0.028361015021800995,-0.028361015021800995,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.028361015021800995,-0.028361015021800995,-0.028361015021800995,-0.028361015021800995,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.028361015021800995,-0.028361015021800995,-0.028361015021800995,-0.028361015021800995,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.045045044273138046,-0.045045044273138046,-0.045045044273138046,-0.045045044273138046,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,-0.045045044273138046,-0.045045044273138046,-0.045045044273138046,-0.045045044273138046,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,-0.002284148009493947,-0.002284148009493947,-0.002284148009493947,-0.002284148009493947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,-0.017842253670096397,-0.017842253670096397,-0.017842253670096397,-0.017842253670096397,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,-0.02895287051796913,-0.02895287051796913,-0.02895287051796913,-0.02895287051796913,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,410536.078125,4207782.25,0.03699211776256561,0.03699211776256561,0.03699211776256561,0.03699211776256561,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,410341.0625,4207785.25,-0.045711517333984375,-0.045711517333984375,-0.045711517333984375,-0.045711517333984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,410522.421875,4207789.0,0.032213129103183746,0.032213129103183746,0.032213129103183746,0.032213129103183746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,410446.1875,4207789.0,-0.02533343806862831,-0.02533343806862831,-0.02533343806862831,-0.02533343806862831,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,410531.859375,4207789.75,0.03699211776256561,0.03699211776256561,0.03699211776256561,0.03699211776256561,"{""type"":""MultiPoint"",""coordinates"":[]}"
