system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,0.1766231209039688,0.1766231209039688,0.1766231209039688,0.1766231209039688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,0.14477597177028656,0.14477597177028656,0.14477597177028656,0.14477597177028656,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.26397973112761974,0.28100883960723877,0.28100883960723877,0.28100883960723877,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.28100883960723877,0.28100883960723877,0.28100883960723877,0.28100883960723877,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,0.14477597177028656,0.14477597177028656,0.14477597177028656,0.14477597177028656,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,0.13862913846969604,0.13862913846969604,0.13862913846969604,0.13862913846969604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,0.17188581675291062,0.13862913846969604,0.13862913846969604,0.24948473274707794,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,0.13862913846969604,0.13862913846969604,0.13862913846969604,0.13862913846969604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,0.13862913846969604,0.13862913846969604,0.13862913846969604,0.13862913846969604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,0.24948473274707794,0.24948473274707794,0.24948473274707794,0.24948473274707794,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,0.16748698694365363,0.14160752296447754,0.14160752296447754,0.23218564689159393,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,0.14589110016822815,0.14589110016822815,0.14589110016822815,0.14589110016822815,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,0.15369899570941925,0.15369899570941925,0.15369899570941925,0.15369899570941925,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,0.15369899570941925,0.15369899570941925,0.15369899570941925,0.15369899570941925,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,0.15369899570941925,0.15369899570941925,0.15369899570941925,0.15369899570941925,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,0.2070753127336502,0.2070753127336502,0.2070753127336502,0.2070753127336502,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,0.2070753127336502,0.2070753127336502,0.2070753127336502,0.2070753127336502,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,0.1939990520477295,0.1939990520477295,0.1939990520477295,0.1939990520477295,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,0.19801461696624756,0.19801461696624756,0.19801461696624756,0.19801461696624756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,0.15977874398231506,0.15977874398231506,0.15977874398231506,0.15977874398231506,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,410536.078125,4207782.25,0.20691928267478943,0.20691928267478943,0.20691928267478943,0.20691928267478943,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,410341.0625,4207785.25,0.13419599831104279,0.13419599831104279,0.13419599831104279,0.13419599831104279,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,410522.421875,4207789.0,0.20842163264751434,0.20842163264751434,0.20842163264751434,0.20842163264751434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,410446.1875,4207789.0,0.2733132839202881,0.2733132839202881,0.2733132839202881,0.2733132839202881,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,410531.859375,4207789.75,0.20691928267478943,0.20691928267478943,0.20691928267478943,0.20691928267478943,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,410513.75,4207790.25,0.20747554031285376,0.20842163264751434,0.20842163264751434,0.20842163264751434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,410455.171875,4207793.25,0.1904335767030716,0.1904335767030716,0.1904335767030716,0.1904335767030716,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,410534.03125,4207794.5,0.20691928267478943,0.20691928267478943,0.20691928267478943,0.20691928267478943,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,410445.359375,4207794.75,0.2733132839202881,0.2733132839202881,0.2733132839202881,0.2733132839202881,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,410435.78125,4207795.0,0.2733132839202881,0.2733132839202881,0.2733132839202881,0.2733132839202881,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,410350.125,4207796.5,0.13419599831104279,0.13419599831104279,0.13419599831104279,0.13419599831104279,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,410532.3125,4207797.5,0.20691928267478943,0.20691928267478943,0.20691928267478943,0.20691928267478943,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,410485.890625,4207797.5,0.15977874398231506,0.15977874398231506,0.15977874398231506,0.15977874398231506,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,410505.28125,4207799.0,0.19801461696624756,0.19801461696624756,0.19801461696624756,0.19801461696624756,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,410446.71875,4207799.5,0.2733132839202881,0.2733132839202881,0.2733132839202881,0.2733132839202881,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,410527.78125,4207803.5,0.1582550640617098,0.15633328258991241,0.15902377665042877,0.15902377665042877,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,410486.34375,4207806.5,0.17590846121311188,0.17590846121311188,0.17590846121311188,0.17590846121311188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,410447.171875,4207807.0,0.1306747943162918,0.1306747943162918,0.1306747943162918,0.1306747943162918,"{""type"":""MultiPoint"",""coordinates"":[]}"
