system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,0.2149038463830948,0.2149038463830948,0.2149038463830948,0.2149038463830948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,0.1353960931301117,0.1353960931301117,0.1353960931301117,0.1353960931301117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.2680464871227741,0.2869965434074402,0.2869965434074402,0.2869965434074402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.2869965434074402,0.2869965434074402,0.2869965434074402,0.2869965434074402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,0.1353960931301117,0.1353960931301117,0.1353960931301117,0.1353960931301117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,0.13215957581996918,0.13215957581996918,0.13215957581996918,0.13215957581996918,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,0.1757238671183586,0.13215957581996918,0.13215957581996918,0.27737388014793396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,0.13215957581996918,0.13215957581996918,0.13215957581996918,0.13215957581996918,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,0.13215957581996918,0.13215957581996918,0.13215957581996918,0.13215957581996918,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,0.27737388014793396,0.27737388014793396,0.27737388014793396,0.27737388014793396,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,0.15377077673162734,0.11833371222019196,0.11833371222019196,0.24236343801021576,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,0.15129007399082184,0.15129007399082184,0.15129007399082184,0.15129007399082184,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,0.14180749654769897,0.14180749654769897,0.14180749654769897,0.14180749654769897,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,0.14180749654769897,0.14180749654769897,0.14180749654769897,0.14180749654769897,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,0.14180749654769897,0.14180749654769897,0.14180749654769897,0.14180749654769897,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,0.18748785555362701,0.18748785555362701,0.18748785555362701,0.18748785555362701,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,0.18748785555362701,0.18748785555362701,0.18748785555362701,0.18748785555362701,"{""type"":""MultiPoint"",""coordinates"":[]}"
