system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.06094487011432648,-0.06094487011432648,-0.06094487011432648,-0.06094487011432648,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.04696998745203018,-0.04696998745203018,-0.04696998745203018,-0.04696998745203018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,-0.04944689152762294,-0.04980073496699333,-0.04980073496699333,-0.04980073496699333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,-0.04980073496699333,-0.04980073496699333,-0.04980073496699333,-0.04980073496699333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.04696998745203018,-0.04696998745203018,-0.04696998745203018,-0.04696998745203018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.056201983243227005,-0.056201983243227005,-0.056201983243227005,-0.056201983243227005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.05573661774396896,-0.056201983243227005,-0.056201983243227005,-0.05465076491236687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.056201983243227005,-0.056201983243227005,-0.056201983243227005,-0.056201983243227005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.056201983243227005,-0.056201983243227005,-0.056201983243227005,-0.056201983243227005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.05465076491236687,-0.05465076491236687,-0.05465076491236687,-0.05465076491236687,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.06139262818864414,-0.06217532977461815,-0.06217532977461815,-0.059435874223709106,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.03554810956120491,-0.03554810956120491,-0.03554810956120491,-0.03554810956120491,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.035306964069604874,-0.035306964069604874,-0.035306964069604874,-0.035306964069604874,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.035306964069604874,-0.035306964069604874,-0.035306964069604874,-0.035306964069604874,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.035306964069604874,-0.035306964069604874,-0.035306964069604874,-0.035306964069604874,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.03223821893334389,-0.03223821893334389,-0.03223821893334389,-0.03223821893334389,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,-0.03223821893334389,-0.03223821893334389,-0.03223821893334389,-0.03223821893334389,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,-0.0373384952545166,-0.0373384952545166,-0.0373384952545166,-0.0373384952545166,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,-0.03305709734559059,-0.03305709734559059,-0.03305709734559059,-0.03305709734559059,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,-0.02335556223988533,-0.02335556223988533,-0.02335556223988533,-0.02335556223988533,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,410536.078125,4207782.25,-0.06697866320610046,-0.06697866320610046,-0.06697866320610046,-0.06697866320610046,"{""type"":""MultiPoint"",""coordinates"":[]}"
