system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.01148168370127678,-0.01148168370127678,-0.01148168370127678,-0.01148168370127678,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.03955402225255966,-0.03955402225255966,-0.03955402225255966,-0.03955402225255966,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,-0.02081193123012781,-0.01813448965549469,-0.01813448965549469,-0.01813448965549469,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,-0.01813448965549469,-0.01813448965549469,-0.01813448965549469,-0.01813448965549469,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.03955402225255966,-0.03955402225255966,-0.03955402225255966,-0.03955402225255966,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.05263157933950424,-0.05263157933950424,-0.05263157933950424,-0.05263157933950424,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.05067576281726361,-0.05263157933950424,-0.05263157933950424,-0.046112190932035446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.05263157933950424,-0.05263157933950424,-0.05263157933950424,-0.05263157933950424,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.05263157933950424,-0.05263157933950424,-0.05263157933950424,-0.05263157933950424,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.046112190932035446,-0.046112190932035446,-0.046112190932035446,-0.046112190932035446,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.05808908918074199,-0.06000705808401108,-0.06000705808401108,-0.053294166922569275,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.03748125955462456,-0.03748125955462456,-0.03748125955462456,-0.03748125955462456,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.029057731851935387,-0.029057731851935387,-0.029057731851935387,-0.029057731851935387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.029057731851935387,-0.029057731851935387,-0.029057731851935387,-0.029057731851935387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.029057731851935387,-0.029057731851935387,-0.029057731851935387,-0.029057731851935387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.03033989854156971,-0.03033989854156971,-0.03033989854156971,-0.03033989854156971,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,-0.03033989854156971,-0.03033989854156971,-0.03033989854156971,-0.03033989854156971,"{""type"":""MultiPoint"",""coordinates"":[]}"
