system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.03370165824890137,-0.03370165824890137,-0.03370165824890137,-0.03370165824890137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.037368807941675186,-0.037368807941675186,-0.037368807941675186,-0.037368807941675186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,-0.008338142884895205,-0.0041909050196409225,-0.0041909050196409225,-0.0041909050196409225,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,-0.0041909050196409225,-0.0041909050196409225,-0.0041909050196409225,-0.0041909050196409225,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.037368807941675186,-0.037368807941675186,-0.037368807941675186,-0.037368807941675186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.051388148218393326,-0.051388148218393326,-0.051388148218393326,-0.051388148218393326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.038983457069844005,-0.051388148218393326,-0.051388148218393326,-0.010039177723228931,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.051388148218393326,-0.051388148218393326,-0.051388148218393326,-0.051388148218393326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.051388148218393326,-0.051388148218393326,-0.051388148218393326,-0.051388148218393326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.010039177723228931,-0.010039177723228931,-0.010039177723228931,-0.010039177723228931,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.05354707634874753,-0.061299052089452744,-0.061299052089452744,-0.03416713699698448,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.011645379476249218,-0.011645379476249218,-0.011645379476249218,-0.011645379476249218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.01717822439968586,-0.01717822439968586,-0.01717822439968586,-0.01717822439968586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.01717822439968586,-0.01717822439968586,-0.01717822439968586,-0.01717822439968586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.01717822439968586,-0.01717822439968586,-0.01717822439968586,-0.01717822439968586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.014687190763652325,-0.014687190763652325,-0.014687190763652325,-0.014687190763652325,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,-0.014687190763652325,-0.014687190763652325,-0.014687190763652325,-0.014687190763652325,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,-0.020725078880786896,-0.020725078880786896,-0.020725078880786896,-0.020725078880786896,"{""type"":""MultiPoint"",""coordinates"":[]}"
