system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,0.20751748979091644,0.20751748979091644,0.20751748979091644,0.20751748979091644,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,0.16813720762729645,0.16813720762729645,0.16813720762729645,0.16813720762729645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.30873156525194645,0.3288164734840393,0.3288164734840393,0.3288164734840393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.3288164734840393,0.3288164734840393,0.3288164734840393,0.3288164734840393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,0.16813720762729645,0.16813720762729645,0.16813720762729645,0.16813720762729645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,0.16050198674201965,0.16050198674201965,0.16050198674201965,0.16050198674201965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,0.19751330614089968,0.16050198674201965,0.16050198674201965,0.283873051404953,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,0.16050198674201965,0.16050198674201965,0.16050198674201965,0.16050198674201965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,0.16050198674201965,0.16050198674201965,0.16050198674201965,0.16050198674201965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,0.283873051404953,0.283873051404953,0.283873051404953,0.283873051404953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,0.20254306920937126,0.17174242436885834,0.17174242436885834,0.2795446813106537,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,0.17237970232963562,0.17237970232963562,0.17237970232963562,0.17237970232963562,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,0.18865598738193512,0.18865598738193512,0.18865598738193512,0.18865598738193512,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,0.18865598738193512,0.18865598738193512,0.18865598738193512,0.18865598738193512,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,0.18865598738193512,0.18865598738193512,0.18865598738193512,0.18865598738193512,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,0.24436306953430176,0.24436306953430176,0.24436306953430176,0.24436306953430176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,0.24436306953430176,0.24436306953430176,0.24436306953430176,0.24436306953430176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,0.2107435166835785,0.2107435166835785,0.2107435166835785,0.2107435166835785,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,0.22834506630897522,0.22834506630897522,0.22834506630897522,0.22834506630897522,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,0.18452860414981842,0.18452860414981842,0.18452860414981842,0.18452860414981842,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,410536.078125,4207782.25,0.19985955953598022,0.19985955953598022,0.19985955953598022,0.19985955953598022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,410341.0625,4207785.25,0.17799724638462067,0.17799724638462067,0.17799724638462067,0.17799724638462067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,410522.421875,4207789.0,0.2528274357318878,0.2528274357318878,0.2528274357318878,0.2528274357318878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,410446.1875,4207789.0,0.3035230338573456,0.3035230338573456,0.3035230338573456,0.3035230338573456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,410531.859375,4207789.75,0.19985955953598022,0.19985955953598022,0.19985955953598022,0.19985955953598022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,410513.75,4207790.25,0.2506017657843503,0.2528274357318878,0.2528274357318878,0.2528274357318878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,410455.171875,4207793.25,0.2403172105550766,0.2403172105550766,0.2403172105550766,0.2403172105550766,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,410534.03125,4207794.5,0.19985955953598022,0.19985955953598022,0.19985955953598022,0.19985955953598022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,410445.359375,4207794.75,0.3035230338573456,0.3035230338573456,0.3035230338573456,0.3035230338573456,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,410435.78125,4207795.0,0.3035230338573456,0.3035230338573456,0.3035230338573456,0.3035230338573456,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,410350.125,4207796.5,0.17799724638462067,0.17799724638462067,0.17799724638462067,0.17799724638462067,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,410532.3125,4207797.5,0.19985955953598022,0.19985955953598022,0.19985955953598022,0.19985955953598022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,410485.890625,4207797.5,0.18452860414981842,0.18452860414981842,0.18452860414981842,0.18452860414981842,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,410505.28125,4207799.0,0.22834506630897522,0.22834506630897522,0.22834506630897522,0.22834506630897522,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,410446.71875,4207799.5,0.3035230338573456,0.3035230338573456,0.3035230338573456,0.3035230338573456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,410527.78125,4207803.5,0.20823816316468377,0.20446276664733887,0.20446276664733887,0.21767665445804596,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,410486.34375,4207806.5,0.22228698432445526,0.22228698432445526,0.22228698432445526,0.22228698432445526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,410447.171875,4207807.0,0.1744348257780075,0.1744348257780075,0.1744348257780075,0.1744348257780075,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,410504.078125,4207807.5,0.23654872179031372,0.23654872179031372,0.23654872179031372,0.23654872179031372,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,410526.109375,4207809.25,0.20446276664733887,0.20446276664733887,0.20446276664733887,0.20446276664733887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,410514.65625,4207809.25,0.20446276664733887,0.20446276664733887,0.20446276664733887,0.20446276664733887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,410437.890625,4207812.75,0.1744348257780075,0.1744348257780075,0.1744348257780075,0.1744348257780075,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,410466.265625,4207814.25,0.22657304576465065,0.2048937827348709,0.2352447509765625,0.2352447509765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,410338.5625,4207815.25,0.20652976206370763,0.2030773013830185,0.20791074633598328,0.20791074633598328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,410533.515625,4207815.25,0.21767665445804596,0.21767665445804596,0.21767665445804596,0.21767665445804596,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,410497.8125,4207815.75,0.2324739396572113,0.22228698432445526,0.23654872179031372,0.23654872179031372,"{""type"":""MultiPoint"",""coordinates"":[]}"
