system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.022426553070545197,-0.022426553070545197,-0.022426553070545197,-0.022426553070545197,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.023115143179893494,-0.023115143179893494,-0.023115143179893494,-0.023115143179893494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.017087776446714997,0.02283105067908764,0.02283105067908764,0.02283105067908764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.02283105067908764,0.02283105067908764,0.02283105067908764,0.02283105067908764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.023115143179893494,-0.023115143179893494,-0.023115143179893494,-0.023115143179893494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.03854723647236824,-0.03854723647236824,-0.03854723647236824,-0.03854723647236824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.019285982847213747,-0.03854723647236824,-0.03854723647236824,0.025656942278146744,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.03854723647236824,-0.03854723647236824,-0.03854723647236824,-0.03854723647236824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.03854723647236824,-0.03854723647236824,-0.03854723647236824,-0.03854723647236824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,0.025656942278146744,0.025656942278146744,0.025656942278146744,0.025656942278146744,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.02842676706079926,-0.03813953325152397,-0.03813953325152397,-0.0041448515839874744,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.017182130366563797,-0.017182130366563797,-0.017182130366563797,-0.017182130366563797,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.0161910317838192,-0.0161910317838192,-0.0161910317838192,-0.0161910317838192,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.0161910317838192,-0.0161910317838192,-0.0161910317838192,-0.0161910317838192,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.0161910317838192,-0.0161910317838192,-0.0161910317838192,-0.0161910317838192,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.009469451382756233,-0.009469451382756233,-0.009469451382756233,-0.009469451382756233,"{""type"":""MultiPoint"",""coordinates"":[]}"
