system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,0.001247747102752328,0.001247747102752328,0.001247747102752328,0.001247747102752328,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.021915920078754425,-0.021915920078754425,-0.021915920078754425,-0.021915920078754425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.03063228540122509,0.03813917189836502,0.03813917189836502,0.03813917189836502,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.03813917189836502,0.03813917189836502,0.03813917189836502,0.03813917189836502,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.021915920078754425,-0.021915920078754425,-0.021915920078754425,-0.021915920078754425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.04187581688165665,-0.04187581688165665,-0.04187581688165665,-0.04187581688165665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.023797666653990746,-0.04187581688165665,-0.04187581688165665,0.01838468387722969,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.04187581688165665,-0.04187581688165665,-0.04187581688165665,-0.04187581688165665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.04187581688165665,-0.04187581688165665,-0.04187581688165665,-0.04187581688165665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,0.01838468387722969,0.01838468387722969,0.01838468387722969,0.01838468387722969,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.025885876534240584,-0.040491484105587006,-0.040491484105587006,0.010628142394125462,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.01923605427145958,-0.01923605427145958,-0.01923605427145958,-0.01923605427145958,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.014149660244584084,-0.014149660244584084,-0.014149660244584084,-0.014149660244584084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.014149660244584084,-0.014149660244584084,-0.014149660244584084,-0.014149660244584084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.014149660244584084,-0.014149660244584084,-0.014149660244584084,-0.014149660244584084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,0.012974262237548828,0.012974262237548828,0.012974262237548828,0.012974262237548828,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,0.012974262237548828,0.012974262237548828,0.012974262237548828,0.012974262237548828,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,-0.020390823483467102,-0.020390823483467102,-0.020390823483467102,-0.020390823483467102,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,-0.008905256167054176,-0.008905256167054176,-0.008905256167054176,-0.008905256167054176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,0.004352192860096693,0.004352192860096693,0.004352192860096693,0.004352192860096693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,410536.078125,4207782.25,-0.016899244859814644,-0.016899244859814644,-0.016899244859814644,-0.016899244859814644,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,410341.0625,4207785.25,0.011839356273412704,0.011839356273412704,0.011839356273412704,0.011839356273412704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,410522.421875,4207789.0,-0.024572718888521194,-0.024572718888521194,-0.024572718888521194,-0.024572718888521194,"{""type"":""MultiPoint"",""coordinates"":[]}"
