system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.06297395378351212,-0.06297395378351212,-0.06297395378351212,-0.06297395378351212,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.05198083817958832,-0.05198083817958832,-0.05198083817958832,-0.05198083817958832,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,-0.047114172950386994,-0.0464189350605011,-0.0464189350605011,-0.0464189350605011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,-0.0464189350605011,-0.0464189350605011,-0.0464189350605011,-0.0464189350605011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.05198083817958832,-0.05198083817958832,-0.05198083817958832,-0.05198083817958832,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.057320285588502884,-0.057320285588502884,-0.057320285588502884,-0.057320285588502884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.05511323213577271,-0.057320285588502884,-0.057320285588502884,-0.049963440746068954,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.057320285588502884,-0.057320285588502884,-0.057320285588502884,-0.057320285588502884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.057320285588502884,-0.057320285588502884,-0.057320285588502884,-0.057320285588502884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.049963440746068954,-0.049963440746068954,-0.049963440746068954,-0.049963440746068954,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.06036309472152165,-0.0633675679564476,-0.0633675679564476,-0.05285191163420677,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.04031853377819061,-0.04031853377819061,-0.04031853377819061,-0.04031853377819061,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.045796096324920654,-0.045796096324920654,-0.045796096324920654,-0.045796096324920654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.045796096324920654,-0.045796096324920654,-0.045796096324920654,-0.045796096324920654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.045796096324920654,-0.045796096324920654,-0.045796096324920654,-0.045796096324920654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.03931088373064995,-0.03931088373064995,-0.03931088373064995,-0.03931088373064995,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,-0.03931088373064995,-0.03931088373064995,-0.03931088373064995,-0.03931088373064995,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,-0.036832209676504135,-0.036832209676504135,-0.036832209676504135,-0.036832209676504135,"{""type"":""MultiPoint"",""coordinates"":[]}"
