system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.04929692670702934,-0.04929692670702934,-0.04929692670702934,-0.04929692670702934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.058602675795555115,-0.058602675795555115,-0.058602675795555115,-0.058602675795555115,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,-0.00984162444365211,-0.0028757599648088217,-0.0028757599648088217,-0.0028757599648088217,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,-0.0028757599648088217,-0.0028757599648088217,-0.0028757599648088217,-0.0028757599648088217,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.058602675795555115,-0.058602675795555115,-0.058602675795555115,-0.058602675795555115,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.06850337982177734,-0.06850337982177734,-0.06850337982177734,-0.06850337982177734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.05695672649890184,-0.06850337982177734,-0.06850337982177734,-0.030014535412192345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.06850337982177734,-0.06850337982177734,-0.06850337982177734,-0.06850337982177734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.06850337982177734,-0.06850337982177734,-0.06850337982177734,-0.06850337982177734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.030014535412192345,-0.030014535412192345,-0.030014535412192345,-0.030014535412192345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.06831602858645576,-0.07822111248970032,-0.07822111248970032,-0.043553318828344345,"{""type"":""MultiPoint"",""coordinates"":[]}"
