system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.059063609689474106,-0.059063609689474106,-0.059063609689474106,-0.059063609689474106,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.05795622244477272,-0.05795622244477272,-0.05795622244477272,-0.05795622244477272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,-0.048091255128383636,-0.046681974083185196,-0.046681974083185196,-0.046681974083185196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,-0.046681974083185196,-0.046681974083185196,-0.046681974083185196,-0.046681974083185196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.05795622244477272,-0.05795622244477272,-0.05795622244477272,-0.05795622244477272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.06023275479674339,-0.06023275479674339,-0.06023275479674339,-0.06023275479674339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.05678369216620922,-0.06023275479674339,-0.06023275479674339,-0.048735879361629486,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.06023275479674339,-0.06023275479674339,-0.06023275479674339,-0.06023275479674339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.06023275479674339,-0.06023275479674339,-0.06023275479674339,-0.06023275479674339,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.048735879361629486,-0.048735879361629486,-0.048735879361629486,-0.048735879361629486,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.06820366105863027,-0.07198892533779144,-0.07198892533779144,-0.05874050036072731,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.04965248703956604,-0.04965248703956604,-0.04965248703956604,-0.04965248703956604,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.04740210250020027,-0.04740210250020027,-0.04740210250020027,-0.04740210250020027,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.04740210250020027,-0.04740210250020027,-0.04740210250020027,-0.04740210250020027,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.04740210250020027,-0.04740210250020027,-0.04740210250020027,-0.04740210250020027,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.05031411722302437,-0.05031411722302437,-0.05031411722302437,-0.05031411722302437,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,-0.05031411722302437,-0.05031411722302437,-0.05031411722302437,-0.05031411722302437,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,-0.041117068380117416,-0.041117068380117416,-0.041117068380117416,-0.041117068380117416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,-0.042062558233737946,-0.042062558233737946,-0.042062558233737946,-0.042062558233737946,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,-0.04129188507795334,-0.04129188507795334,-0.04129188507795334,-0.04129188507795334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,410536.078125,4207782.25,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,410341.0625,4207785.25,-0.03889172896742821,-0.03889172896742821,-0.03889172896742821,-0.03889172896742821,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,410522.421875,4207789.0,-0.06740858405828476,-0.06740858405828476,-0.06740858405828476,-0.06740858405828476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,410446.1875,4207789.0,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,410531.859375,4207789.75,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,410513.75,4207790.25,-0.06510439989241687,-0.06740858405828476,-0.06740858405828476,-0.06740858405828476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,410455.171875,4207793.25,-0.04677905514836311,-0.04677905514836311,-0.04677905514836311,-0.04677905514836311,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,410534.03125,4207794.5,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,410445.359375,4207794.75,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,410435.78125,4207795.0,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,410350.125,4207796.5,-0.03889172896742821,-0.03889172896742821,-0.03889172896742821,-0.03889172896742821,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,410532.3125,4207797.5,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,-0.07636402547359467,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,410485.890625,4207797.5,-0.04129188507795334,-0.04129188507795334,-0.04129188507795334,-0.04129188507795334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,410505.28125,4207799.0,-0.042062558233737946,-0.042062558233737946,-0.042062558233737946,-0.042062558233737946,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,410446.71875,4207799.5,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,-0.07572280615568161,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,410527.78125,4207803.5,-0.06083350575395993,-0.06160873547196388,-0.06160873547196388,-0.05889543145895004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,410486.34375,4207806.5,-0.027894888073205948,-0.027894888073205948,-0.027894888073205948,-0.027894888073205948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,410447.171875,4207807.0,-0.023457543924450874,-0.023457543924450874,-0.023457543924450874,-0.023457543924450874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,410504.078125,4207807.5,-0.0436558872461319,-0.0436558872461319,-0.0436558872461319,-0.0436558872461319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,410526.109375,4207809.25,-0.06160873547196388,-0.06160873547196388,-0.06160873547196388,-0.06160873547196388,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,410514.65625,4207809.25,-0.06160873547196388,-0.06160873547196388,-0.06160873547196388,-0.06160873547196388,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,410437.890625,4207812.75,-0.023457543924450874,-0.023457543924450874,-0.023457543924450874,-0.023457543924450874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,410466.265625,4207814.25,-0.03793880423264844,-0.04747302085161209,-0.04747302085161209,-0.014103262685239315,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,410338.5625,4207815.25,-0.019851199750389372,-0.024570457637310028,-0.024570457637310028,-0.00805305503308773,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,410533.515625,4207815.25,-0.05889543145895004,-0.05889543145895004,-0.05889543145895004,-0.05889543145895004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,410497.8125,4207815.75,-0.03915274462529591,-0.0436558872461319,-0.0436558872461319,-0.027894888073205948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,410348.90625,4207816.25,-0.00805305503308773,-0.00805305503308773,-0.00805305503308773,-0.00805305503308773,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,410487.328125,4207818.0,-0.027894888073205948,-0.027894888073205948,-0.027894888073205948,-0.027894888073205948,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,410526.03125,4207820.0,-0.063559368539315,-0.06477851420640945,-0.06477851420640945,-0.06160873547196388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,410417.890625,4207821.0,-0.009263443993404506,-0.023878246545791626,-0.008119826205074787,0.014065366238355637,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,410533.140625,4207821.0,-0.05063802748918533,-0.05063802748918533,-0.05063802748918533,-0.05063802748918533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,410339.390625,4207825.0,-0.01929564050078625,-0.038459163159132004,-0.01929564050078625,-1.321178424404934E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,410497.0625,4207827.5,-0.04048241159090629,-0.047166939824819565,-0.03475281596183777,-0.03475281596183777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,410516.375,4207828.0,-0.06477851420640945,-0.06477851420640945,-0.06477851420640945,-0.06477851420640945,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,410505.65625,4207828.0,-0.047166939824819565,-0.047166939824819565,-0.047166939824819565,-0.047166939824819565,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,410398.71875,4207831.25,0.024187777191400528,0.024187777191400528,0.024187777191400528,0.024187777191400528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,410448.609375,4207833.75,-0.03485513531735965,-0.03389405086636543,-0.03389405086636543,-0.03389405086636543,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,410458.265625,4207834.0,-0.040621642023324966,-0.040621642023324966,-0.040621642023324966,-0.040621642023324966,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,410339.171875,4207834.0,-0.023717991883481424,-0.038459163159132004,-0.038459163159132004,-1.321178424404934E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,410524.984375,4207834.25,-0.06477851420640945,-0.06477851420640945,-0.06477851420640945,-0.06477851420640945,"{""type"":""MultiPoint"",""coordinates"":[]}"
