system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,0.17120768129825592,0.17120768129825592,0.17120768129825592,0.17120768129825592,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,0.11712783575057983,0.11712783575057983,0.11712783575057983,0.11712783575057983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.22769454307854173,0.24348978698253632,0.24348978698253632,0.24348978698253632,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.24348978698253632,0.24348978698253632,0.24348978698253632,0.24348978698253632,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,0.11712783575057983,0.11712783575057983,0.11712783575057983,0.11712783575057983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,0.13309630751609802,0.13309630751609802,0.13309630751609802,0.13309630751609802,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,0.15957156121730803,0.13309630751609802,0.13309630751609802,0.2213471531867981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,0.13309630751609802,0.13309630751609802,0.13309630751609802,0.13309630751609802,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,0.13309630751609802,0.13309630751609802,0.13309630751609802,0.13309630751609802,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,0.2213471531867981,0.2213471531867981,0.2213471531867981,0.2213471531867981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,0.14588704598801477,0.11619844287633896,0.11619844287633896,0.22010855376720428,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,0.13194122910499573,0.13194122910499573,0.13194122910499573,0.13194122910499573,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,0.1373511552810669,0.1373511552810669,0.1373511552810669,0.1373511552810669,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,0.1373511552810669,0.1373511552810669,0.1373511552810669,0.1373511552810669,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,0.1373511552810669,0.1373511552810669,0.1373511552810669,0.1373511552810669,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,0.160933256149292,0.160933256149292,0.160933256149292,0.160933256149292,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,0.160933256149292,0.160933256149292,0.160933256149292,0.160933256149292,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,0.1464700698852539,0.1464700698852539,0.1464700698852539,0.1464700698852539,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,0.15979595482349396,0.15979595482349396,0.15979595482349396,0.15979595482349396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,0.14535033702850342,0.14535033702850342,0.14535033702850342,0.14535033702850342,"{""type"":""MultiPoint"",""coordinates"":[]}"
