system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,-0.033829279243946075,-0.033829279243946075,-0.033829279243946075,-0.033829279243946075,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,-0.0321047343313694,-0.0321047343313694,-0.0321047343313694,-0.0321047343313694,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,-0.01905094040557742,-0.017186112701892853,-0.017186112701892853,-0.017186112701892853,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,-0.017186112701892853,-0.017186112701892853,-0.017186112701892853,-0.017186112701892853,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,-0.0321047343313694,-0.0321047343313694,-0.0321047343313694,-0.0321047343313694,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,-0.03507925197482109,-0.03507925197482109,-0.03507925197482109,-0.03507925197482109,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,-0.0313983229920268,-0.03507925197482109,-0.03507925197482109,-0.02280948869884014,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,-0.03507925197482109,-0.03507925197482109,-0.03507925197482109,-0.03507925197482109,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,-0.03507925197482109,-0.03507925197482109,-0.03507925197482109,-0.03507925197482109,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,-0.02280948869884014,-0.02280948869884014,-0.02280948869884014,-0.02280948869884014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,-0.04175193820680891,-0.04553571343421936,-0.04553571343421936,-0.032292500138282776,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,-0.02686072699725628,-0.02686072699725628,-0.02686072699725628,-0.02686072699725628,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,-0.019218942150473595,-0.019218942150473595,-0.019218942150473595,-0.019218942150473595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,-0.019218942150473595,-0.019218942150473595,-0.019218942150473595,-0.019218942150473595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,410341.359375,4207755.25,-0.019218942150473595,-0.019218942150473595,-0.019218942150473595,-0.019218942150473595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,410342.046875,4207765.0,-0.017740143463015556,-0.017740143463015556,-0.017740143463015556,-0.017740143463015556,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,410342.171875,4207775.25,-0.017740143463015556,-0.017740143463015556,-0.017740143463015556,-0.017740143463015556,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,410476.375,4207778.75,-0.019761474803090096,-0.019761474803090096,-0.019761474803090096,-0.019761474803090096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,410503.25,4207780.75,-0.019644729793071747,-0.019644729793071747,-0.019644729793071747,-0.019644729793071747,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,410494.421875,4207781.25,-0.008787836879491806,-0.008787836879491806,-0.008787836879491806,-0.008787836879491806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,410536.078125,4207782.25,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,410341.0625,4207785.25,-0.009903243742883205,-0.009903243742883205,-0.009903243742883205,-0.009903243742883205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,410522.421875,4207789.0,-0.015860429033637047,-0.015860429033637047,-0.015860429033637047,-0.015860429033637047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,410446.1875,4207789.0,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,410531.859375,4207789.75,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,410513.75,4207790.25,-0.01620445637540384,-0.015860429033637047,-0.015860429033637047,-0.015860429033637047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,410455.171875,4207793.25,-0.010178210213780403,-0.010178210213780403,-0.010178210213780403,-0.010178210213780403,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,410534.03125,4207794.5,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,410445.359375,4207794.75,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,410435.78125,4207795.0,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,410350.125,4207796.5,-0.009903243742883205,-0.009903243742883205,-0.009903243742883205,-0.009903243742883205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,410532.3125,4207797.5,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,-0.06363224983215332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,410485.890625,4207797.5,-0.008787836879491806,-0.008787836879491806,-0.008787836879491806,-0.008787836879491806,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,410505.28125,4207799.0,-0.019644729793071747,-0.019644729793071747,-0.019644729793071747,-0.019644729793071747,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,410446.71875,4207799.5,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,-0.029354499652981758,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,410527.78125,4207803.5,-0.03169910263802324,-0.0573258176445961,-0.021448416635394096,-0.021448416635394096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,410486.34375,4207806.5,-0.0037112501449882984,-0.0037112501449882984,-0.0037112501449882984,-0.0037112501449882984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,410447.171875,4207807.0,-0.012446237727999687,-0.012446237727999687,-0.012446237727999687,-0.012446237727999687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,410504.078125,4207807.5,-0.013630639761686325,-0.013630639761686325,-0.013630639761686325,-0.013630639761686325,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,410526.109375,4207809.25,-0.021448416635394096,-0.021448416635394096,-0.021448416635394096,-0.021448416635394096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,410514.65625,4207809.25,-0.021448416635394096,-0.021448416635394096,-0.021448416635394096,-0.021448416635394096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,410437.890625,4207812.75,-0.012446237727999687,-0.012446237727999687,-0.012446237727999687,-0.012446237727999687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,410466.265625,4207814.25,-0.014347668271511793,-0.01960495300590992,-0.01960495300590992,-0.0012044564355164766,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,410338.5625,4207815.25,-0.003598037674756987,-0.005735121201723814,-0.005735121201723814,0.0017446711426600814,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,410533.515625,4207815.25,-0.0573258176445961,-0.0573258176445961,-0.0573258176445961,-0.0573258176445961,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,410497.8125,4207815.75,-0.010796528442629745,-0.013630639761686325,-0.013630639761686325,-0.0037112501449882984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,410348.90625,4207816.25,0.0017446711426600814,0.0017446711426600814,0.0017446711426600814,0.0017446711426600814,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,410487.328125,4207818.0,-0.0037112501449882984,-0.0037112501449882984,-0.0037112501449882984,-0.0037112501449882984,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,410526.03125,4207820.0,-0.025361640378832814,-0.027807405218482018,-0.027807405218482018,-0.021448416635394096,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,410417.890625,4207821.0,0.0020320544814846162,-0.006530290935188532,0.0014615351101383567,0.015751244500279427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,410533.140625,4207821.0,-0.05037371441721916,-0.05037371441721916,-0.05037371441721916,-0.05037371441721916,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,410339.390625,4207825.0,0.0042837620712816715,-0.008094525896012783,0.0042837620712816715,0.016662050038576126,"{""type"":""MultiPoint"",""coordinates"":[]}"
