system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,410343.40625,4207645.0,0.2643422782421112,0.2643422782421112,0.2643422782421112,0.2643422782421112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,410344.609375,4207665.25,0.19166485965251923,0.19166485965251923,0.19166485965251923,0.19166485965251923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,410354.796875,4207667.75,0.317652402445674,0.33565062284469604,0.33565062284469604,0.33565062284469604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,410357.4375,4207673.0,0.33565062284469604,0.33565062284469604,0.33565062284469604,0.33565062284469604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,410345.296875,4207675.25,0.19166485965251923,0.19166485965251923,0.19166485965251923,0.19166485965251923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,410345.65625,4207685.5,0.2049124389886856,0.2049124389886856,0.2049124389886856,0.2049124389886856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,410353.140625,4207688.75,0.2459908053278923,0.2049124389886856,0.2049124389886856,0.34184032678604126,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,410343.78125,4207695.5,0.2049124389886856,0.2049124389886856,0.2049124389886856,0.2049124389886856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,410351.9375,4207697.75,0.2049124389886856,0.2049124389886856,0.2049124389886856,0.2049124389886856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,410357.734375,4207699.0,0.34184032678604126,0.34184032678604126,0.34184032678604126,0.34184032678604126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,410353.296875,4207718.0,0.22519007750919887,0.19136875867843628,0.19136875867843628,0.30974337458610535,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,410342.71875,4207735.25,0.1928045004606247,0.1928045004606247,0.1928045004606247,0.1928045004606247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,410343.328125,4207746.25,0.20100262761116028,0.20100262761116028,0.20100262761116028,0.20100262761116028,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,410350.421875,4207749.0,0.20100262761116028,0.20100262761116028,0.20100262761116028,0.20100262761116028,"{""type"":""MultiPoint"",""coordinates"":[]}"
