system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.4015882382026085,0.402682900428772,0.402682900428772,0.402682900428772,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.4140723943710327,0.4140723943710327,0.4140723943710327,0.4140723943710327,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.2997979738495567,0.27554506063461304,0.27554506063461304,0.328901469707489,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.27554506063461304,0.27554506063461304,0.27554506063461304,0.27554506063461304,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.2408505082130432,0.2408505082130432,0.2408505082130432,0.2408505082130432,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.25552897269909197,0.2408505082130432,0.2408505082130432,0.27554506063461304,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.2388089373707771,0.23676736652851105,0.23880893737077713,0.2408505082130432,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.4140723943710327,0.4140723943710327,0.4140723943710327,0.4140723943710327,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.31873834416979835,0.328901469707489,0.328901469707489,0.328901469707489,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.23676736652851105,0.23676736652851105,0.23676736652851105,0.23676736652851105,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.16035486686797368,0.15999796986579895,0.15999796986579895,0.15999796986579895,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.25299360156059264,0.2408505082130432,0.2408505082130432,0.27554506063461304,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.27467138252475043,0.27554506063461304,0.27554506063461304,0.27554506063461304,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.22874208788077036,0.19092795252799988,0.2443126142024994,0.2443126142024994,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.39544301927089687,0.3819975256919861,0.402682900428772,0.402682900428772,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.39283272198268343,0.3819975256919861,0.402682900428772,0.402682900428772,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.16269611120223998,0.15999796986579895,0.16374538838863373,0.16374538838863373,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.22138611362739044,0.2204592376947403,0.2204592376947403,0.2204592376947403,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.14026090502738953,0.14026090502738953,0.14026090502738953,0.14026090502738953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.374688059091568,0.374688059091568,0.374688059091568,0.374688059091568,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.14026090502738953,0.14026090502738953,0.14026090502738953,0.14026090502738953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.34327563643455505,0.34327563643455505,0.34327563643455505,0.34327563643455505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.19092795252799988,0.19092795252799988,0.19092795252799988,0.19092795252799988,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.16483269095420838,0.16374538838863373,0.16374538838863373,0.16374538838863373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.1326541751623154,0.12862318754196167,0.13587896525859833,0.13587896525859833,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.16374538838863373,0.16374538838863373,0.16374538838863373,0.16374538838863373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.14026090502738953,0.14026090502738953,0.14026090502738953,0.14026090502738953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.12862318754196167,0.12862318754196167,0.12862318754196167,0.12862318754196167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,0.2204592376947403,0.2204592376947403,0.2204592376947403,0.2204592376947403,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,0.2202035202221437,0.21989665925502777,0.2204592376947403,0.2204592376947403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,0.1328977920114994,0.12862318754196167,0.13519950211048126,0.13519950211048126,"{""type"":""MultiPoint"",""coordinates"":[]}"
