system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.22892910070144212,0.22460168600082397,0.22460168600082397,0.22460168600082397,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.22374755144119263,0.22374755144119263,0.22374755144119263,0.22374755144119263,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.23602569103240967,0.22429706156253815,0.22429706156253815,0.2501000463962555,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.22429706156253815,0.22429706156253815,0.22429706156253815,0.22429706156253815,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.21775251626968384,0.21775251626968384,0.21775251626968384,0.21775251626968384,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.22052136235512218,0.21775251626968384,0.21775251626968384,0.22429706156253815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.21434751152992249,0.21094250679016113,0.21434751152992249,0.21775251626968384,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.22374755144119263,0.22374755144119263,0.22374755144119263,0.22374755144119263,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.24518519214221413,0.2501000463962555,0.2501000463962555,0.2501000463962555,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.21094250679016113,0.21094250679016113,0.21094250679016113,0.21094250679016113,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.3083614749567849,0.3091922104358673,0.3091922104358673,0.3091922104358673,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.2200431071221828,0.21775251626968384,0.21775251626968384,0.22429706156253815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.22488139908422125,0.22429706156253815,0.22429706156253815,0.22429706156253815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.22093568928539753,0.218401700258255,0.22197909653186798,0.22197909653186798,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.22412061691284182,0.22322720289230347,0.22460168600082397,0.22460168600082397,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.22394717023486183,0.22322720289230347,0.22460168600082397,0.22460168600082397,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.3029118502140045,0.3004694879055023,0.3004694879055023,0.3091922104358673,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.22649549557404083,0.22691182792186737,0.22691182792186737,0.22691182792186737,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.270493745803833,0.270493745803833,0.270493745803833,0.270493745803833,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.18742093443870544,0.18742093443870544,0.18742093443870544,0.18742093443870544,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.270493745803833,0.270493745803833,0.270493745803833,0.270493745803833,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.2655898630619049,0.2655898630619049,0.2655898630619049,0.2655898630619049,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.218401700258255,0.218401700258255,0.218401700258255,0.218401700258255,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.29718677639961244,0.3004694879055023,0.3004694879055023,0.3004694879055023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.2600388725598653,0.2587708830833435,0.2587708830833435,0.2616238594055176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.3004694879055023,0.3004694879055023,0.3004694879055023,0.3004694879055023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.270493745803833,0.270493745803833,0.270493745803833,0.270493745803833,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.2616238594055176,0.2616238594055176,0.2616238594055176,0.2616238594055176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,0.22691182792186737,0.22691182792186737,0.22691182792186737,0.22691182792186737,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,0.23222889412533151,0.22691182792186737,0.22691182792186737,0.23860937356948853,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,0.22067076414823536,0.19861909747123718,0.19861909747123718,0.2616238594055176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,0.23860937356948853,0.23860937356948853,0.23860937356948853,0.23860937356948853,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,0.2655898630619049,0.2655898630619049,0.2655898630619049,0.2655898630619049,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,0.270493745803833,0.270493745803833,0.270493745803833,0.270493745803833,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,0.18949881196022034,0.18949881196022034,0.18949881196022034,0.18949881196022034,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,412209.921875,4206060.75,0.2655898630619049,0.2655898630619049,0.2655898630619049,0.2655898630619049,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,412322.234375,4206061.25,0.26668319531849455,0.268001914024353,0.268001914024353,0.268001914024353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,412219.40625,4206061.75,0.23715248703956604,0.23715248703956604,0.23715248703956604,0.23715248703956604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,412277.859375,4206062.75,0.28554807196963916,0.3004694879055023,0.3004694879055023,0.3004694879055023,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,412175.421875,4206062.75,0.22322720289230347,0.22322720289230347,0.22322720289230347,0.22322720289230347,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,412381.9375,4206063.0,0.18949881196022034,0.18949881196022034,0.18949881196022034,0.18949881196022034,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,412338.875,4206063.0,0.2598872651224551,0.2587708830833435,0.2587708830833435,0.2616238594055176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,412330.75,4206063.25,0.2587708830833435,0.2587708830833435,0.2587708830833435,0.2587708830833435,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,412226.59375,4206063.75,0.23715248703956604,0.23715248703956604,0.23715248703956604,0.23715248703956604,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,412234.75,4206065.25,0.22533612833781677,0.22691182792186737,0.22691182792186737,0.22691182792186737,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,412399.0625,4206065.25,0.1993572562932968,0.17264308035373688,0.22161906957626343,0.22161906957626343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,412407.578125,4206065.5,0.19988582512507072,0.18579645454883575,0.18579645454883575,0.22649908065795898,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,412390.71875,4206065.5,0.1982971699464889,0.17264308035373688,0.22161906957626343,0.22161906957626343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,412347.421875,4206066.0,0.2651402269090925,0.2616238594055176,0.2677775025367737,0.2677775025367737,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,412192.0,4206067.25,0.20456152728625707,0.18742093443870544,0.2201438844203949,0.2201438844203949,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,412241.671875,4206067.75,0.22142314103742441,0.21997874975204468,0.21997874975204468,0.21997874975204468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,412416.65625,4206067.75,0.18711023032665253,0.18579645454883575,0.18579645454883575,0.18579645454883575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,412356.65625,4206068.0,0.23765597119927406,0.22761546075344086,0.22761546075344086,0.24769648164510727,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,412251.609375,4206068.25,0.24185630679130554,0.24185630679130554,0.24185630679130554,0.24185630679130554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,412425.90625,4206068.75,0.19959110021591187,0.19959110021591187,0.19959110021591187,0.19959110021591187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,412260.296875,4206069.0,0.2354108154773712,0.22574257850646973,0.24185630679130554,0.24185630679130554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,412208.484375,4206069.75,0.26199713349342346,0.26199713349342346,0.26199713349342346,0.26199713349342346,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,412225.890625,4206070.25,0.23796910047531128,0.23796910047531128,0.23796910047531128,0.23796910047531128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,412168.40625,4206070.5,0.27875206958163873,0.27432695031166077,0.27432695031166077,0.27432695031166077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,412381.671875,4206070.75,0.2388664036989212,0.2388664036989212,0.2388664036989212,0.2388664036989212,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130,412321.28125,4206070.75,0.26665017008781433,0.26665017008781433,0.26665017008781433,0.26665017008781433,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,412435.0625,4206071.25,0.19426411911845207,0.19139574468135834,0.19139574468135834,0.19959110021591187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,412218.4375,4206071.25,0.23796910047531128,0.23796910047531128,0.23796910047531128,0.23796910047531128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,412268.28125,4206071.75,0.22574257850646973,0.22574257850646973,0.22574257850646973,0.22574257850646973,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,412329.859375,4206071.75,0.26853612065315247,0.26853612065315247,0.26853612065315247,0.26853612065315247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,412276.796875,4206072.25,0.24053143501281737,0.22574257850646973,0.2521512508392334,0.2521512508392334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,412442.328125,4206072.5,0.19139574468135834,0.19139574468135834,0.19139574468135834,0.19139574468135834,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,412234.6875,4206072.75,0.21997874975204468,0.21997874975204468,0.21997874975204468,0.21997874975204468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,412389.34375,4206072.75,0.2224403712011519,0.22161906957626343,0.22161906957626343,0.22161906957626343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,412338.546875,4206073.25,0.26832922480323096,0.2677775025367737,0.26853612065315247,0.26853612065315247,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,412182.0625,4206073.75,0.24594534436861673,0.2201438844203949,0.2201438844203949,0.27432695031166077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,412399.40625,4206074.5,0.22161906957626343,0.22161906957626343,0.22161906957626343,0.22161906957626343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,412462.03125,4206074.75,0.20647002756595612,0.20647002756595612,0.20647002756595612,0.20647002756595612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,412452.09375,4206075.0,0.20521383732557297,0.20647002756595612,0.20647002756595612,0.20647002756595612,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,412346.0,4206075.25,0.2677775025367737,0.2677775025367737,0.2677775025367737,0.2677775025367737,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,412250.546875,4206075.75,0.24185630679130554,0.24185630679130554,0.24185630679130554,0.24185630679130554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,412241.5,4206076.25,0.21997874975204468,0.21997874975204468,0.21997874975204468,0.21997874975204468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,412407.921875,4206076.5,0.18579645454883575,0.18579645454883575,0.18579645454883575,0.18579645454883575,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,412208.75,4206076.5,0.26199713349342346,0.26199713349342346,0.26199713349342346,0.26199713349342346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,412469.296875,4206077.0,0.19058465957641602,0.19058465957641602,0.19058465957641602,0.19058465957641602,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,412415.375,4206077.25,0.18579645454883575,0.18579645454883575,0.18579645454883575,0.18579645454883575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,412424.0625,4206077.25,0.19959110021591187,0.19959110021591187,0.19959110021591187,0.19959110021591187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,412309.453125,4206078.0,0.2668678089976311,0.26665017008781433,0.26665017008781433,0.2670854479074478,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,412303.59375,4206078.0,0.2675207257270813,0.2675207257270813,0.2675207257270813,0.2675207257270813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,412478.0,4206078.25,0.19058465957641602,0.19058465957641602,0.19058465957641602,0.19058465957641602,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,412486.703125,4206078.5,0.15349312126636505,0.15349312126636505,0.15349312126636505,0.15349312126636505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,412363.390625,4206078.5,0.22761546075344086,0.22761546075344086,0.22761546075344086,0.22761546075344086,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,412319.5625,4206078.75,0.26665017008781433,0.26665017008781433,0.26665017008781433,0.26665017008781433,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,412372.078125,4206078.75,0.23558487867315608,0.22761546075344086,0.2388664036989212,0.2388664036989212,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,412267.234375,4206079.5,0.22574257850646973,0.22574257850646973,0.22574257850646973,0.22574257850646973,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,412216.671875,4206079.75,0.23796910047531128,0.23796910047531128,0.23796910047531128,0.23796910047531128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110,412494.90625,4206079.75,0.15349312126636505,0.15349312126636505,0.15349312126636505,0.15349312126636505,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,412432.234375,4206080.0,0.19918133243918418,0.19959110021591187,0.19959110021591187,0.19959110021591187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,412381.3125,4206080.0,0.2388664036989212,0.2388664036989212,0.2388664036989212,0.2388664036989212,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d,412328.6875,4206080.25,0.26853612065315247,0.26853612065315247,0.26853612065315247,0.26853612065315247,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,412224.96875,4206080.75,0.23796910047531128,0.23796910047531128,0.23796910047531128,0.23796910047531128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,412504.09375,4206081.25,0.17763975262641907,0.17763975262641907,0.17763975262641907,0.17763975262641907,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,412441.65625,4206081.25,0.19139574468135834,0.19139574468135834,0.19139574468135834,0.19139574468135834,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000118,412389.796875,4206081.25,0.22161906957626343,0.22161906957626343,0.22161906957626343,0.22161906957626343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,412173.375,4206081.5,0.27432695031166077,0.27432695031166077,0.27432695031166077,0.27432695031166077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107,412459.25,4206082.5,0.2119618155386137,0.20647002756595612,0.20647002756595612,0.20647002756595612,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,412182.0625,4206082.75,0.2472354173660278,0.2201438844203949,0.24723541736602783,0.27432695031166077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,412514.203125,4206082.75,0.16446165591478348,0.1445952206850052,0.1727316826581955,0.17670582234859467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,412398.171875,4206083.0,0.22161906957626343,0.22161906957626343,0.22161906957626343,0.22161906957626343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,412345.828125,4206083.0,0.2677775025367737,0.2677775025367737,0.2677775025367737,0.2677775025367737,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,412233.875,4206083.0,0.21997874975204468,0.21997874975204468,0.21997874975204468,0.21997874975204468,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,412293.5,4206083.0,0.26312944718769615,0.2521512508392334,0.2675207257270813,0.2675207257270813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,412522.1875,4206083.75,0.15994238176129083,0.1445952206850052,0.1727316826581955,0.1727316826581955,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,412353.453125,4206083.75,0.2683207195997238,0.2677775025367737,0.2677775025367737,0.2754549980163574,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,412301.828125,4206084.0,0.2675207257270813,0.2675207257270813,0.2675207257270813,0.2675207257270813,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,412199.09375,4206084.75,0.2505826110189611,0.2201438844203949,0.26199713349342346,0.26199713349342346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,412405.796875,4206084.75,0.18038574073995864,0.17546691000461578,0.17546691000461578,0.18579645454883575,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b,412362.015625,4206084.75,0.22953961044549942,0.22761546075344086,0.22761546075344086,0.23189134895801544,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,412467.359375,4206085.0,0.18709283011655015,0.1732933223247528,0.1732933223247528,0.19058465957641602,"{""type"":""MultiPoint"",""coordinates"":[]}"
