system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.3433640748262405,0.3368736505508423,0.3368736505508423,0.3368736505508423,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.3355914056301117,0.3355914056301117,0.3355914056301117,0.3355914056301117,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.3540017767386003,0.33640947937965393,0.33640947937965393,0.37511253356933594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.33640947937965393,0.33640947937965393,0.33640947937965393,0.33640947937965393,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.3265930712223053,0.3265930712223053,0.3265930712223053,0.3265930712223053,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.33074616698118353,0.3265930712223053,0.3265930712223053,0.33640947937965393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.3214865177869797,0.31637996435165405,0.3214865177869797,0.3265930712223053,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.3355914056301117,0.3355914056301117,0.3355914056301117,0.3355914056301117,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.36774052324749174,0.37511253356933594,0.37511253356933594,0.37511253356933594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.31637996435165405,0.31637996435165405,0.31637996435165405,0.31637996435165405,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.46248846252759296,0.4637344777584076,0.4637344777584076,0.4637344777584076,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.33002881407737733,0.3265930712223053,0.3265930712223053,0.33640947937965393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.33728592504154553,0.33640947937965393,0.33640947937965393,0.33640947937965393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.3313635289669037,0.32756373286247253,0.3329281508922577,0.3329281508922577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.33615155667066576,0.3348105251789093,0.3368736505508423,0.3368736505508423,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.33589120989754084,0.3348105251789093,0.3368736505508423,0.3368736505508423,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.4543146026134491,0.4506513178348541,0.4506513178348541,0.4637344777584076,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.3397076753052798,0.34033218026161194,0.34033218026161194,0.34033218026161194,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.4056926965713501,0.4056926965713501,0.4056926965713501,0.4056926965713501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.28110599517822266,0.28110599517822266,0.28110599517822266,0.28110599517822266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.4056926965713501,0.4056926965713501,0.4056926965713501,0.4056926965713501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.3983440697193146,0.3983440697193146,0.3983440697193146,0.3983440697193146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.32756373286247253,0.32756373286247253,0.32756373286247253,0.32756373286247253,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.4457278144359589,0.4506513178348541,0.4506513178348541,0.4506513178348541,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.3900127841366662,0.3881106674671173,0.3881106674671173,0.3923904299736023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.4506513178348541,0.4506513178348541,0.4506513178348541,0.4506513178348541,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.4056926965713501,0.4056926965713501,0.4056926965713501,0.4056926965713501,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.3923904299736023,0.3923904299736023,0.3923904299736023,0.3923904299736023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,0.34033218026161194,0.34033218026161194,0.34033218026161194,0.34033218026161194,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,0.34830637411637744,0.34033218026161194,0.34033218026161194,0.35787540674209595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,0.33096798360347746,0.29789435863494873,0.29789435863494873,0.3923904299736023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,0.35787540674209595,0.35787540674209595,0.35787540674209595,0.35787540674209595,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,0.3983440697193146,0.3983440697193146,0.3983440697193146,0.3983440697193146,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,0.4056926965713501,0.4056926965713501,0.4056926965713501,0.4056926965713501,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,0.2842142879962921,0.2842142879962921,0.2842142879962921,0.2842142879962921,"{""type"":""MultiPoint"",""coordinates"":[]}"
