system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.146640484722761,0.14717534184455872,0.14717534184455872,0.14717534184455872,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.13160885870456696,0.13160885870456696,0.13160885870456696,0.13160885870456696,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.17739556729793549,0.15462271869182587,0.19637294113636017,0.19637294113636017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.19637294113636017,0.19637294113636017,0.19637294113636017,0.19637294113636017,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.19371655583381653,0.19371655583381653,0.19371655583381653,0.19371655583381653,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.19484041115412346,0.19371655583381653,0.19371655583381653,0.19637294113636017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.1797032430768013,0.16568993031978607,0.1797032430768013,0.19371655583381653,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.13160885870456696,0.13160885870456696,0.13160885870456696,0.13160885870456696,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.1625751420145943,0.15462271869182587,0.15462271869182587,0.15462271869182587,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.16568993031978607,0.16568993031978607,0.16568993031978607,0.16568993031978607,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.07703735856782822,0.0747501403093338,0.0747501403093338,0.0747501403093338,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.1946462906897068,0.19371655583381653,0.19371655583381653,0.19637294113636017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.1941506361419504,0.19637294113636017,0.19637294113636017,0.19637294113636017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.1347854407504201,0.11441212147474289,0.1431744545698166,0.1431744545698166,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.1439293511211872,0.13790108263492584,0.14717534184455872,0.14717534184455872,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.14275902793520973,0.13790108263492584,0.14717534184455872,0.14717534184455872,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.09204151034355165,0.0747501403093338,0.09876593202352524,0.09876593202352524,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.15848535231568597,0.15680767595767975,0.15680767595767975,0.15680767595767975,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.07119295001029968,0.07119295001029968,0.07119295001029968,0.07119295001029968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.12905557453632355,0.12905557453632355,0.12905557453632355,0.12905557453632355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.07119295001029968,0.07119295001029968,0.07119295001029968,0.07119295001029968,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.13871370255947113,0.13871370255947113,0.13871370255947113,0.13871370255947113,"{""type"":""MultiPoint"",""coordinates"":[]}"
