system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.1526901739147993,0.1496550738811493,0.1496550738811493,0.1496550738811493,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.1476009637117386,0.1476009637117386,0.1476009637117386,0.1476009637117386,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.2103831646117297,0.18661804497241974,0.23018743097782135,0.23018743097782135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.23018743097782135,0.23018743097782135,0.23018743097782135,0.23018743097782135,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.23164737224578857,0.23164737224578857,0.23164737224578857,0.23164737224578857,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.231029704786264,0.23018743097782135,0.23164737224578857,0.23164737224578857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.205844022333622,0.18004067242145538,0.20584402233362198,0.23164737224578857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.1476009637117386,0.1476009637117386,0.1476009637117386,0.1476009637117386,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.19491697564011531,0.18661804497241974,0.18661804497241974,0.18661804497241974,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.18004067242145538,0.18004067242145538,0.18004067242145538,0.18004067242145538,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.16049973666667938,0.15730337798595428,0.15730337798595428,0.15730337798595428,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.23113639280200007,0.23018743097782135,0.23164737224578857,0.23164737224578857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.2272190790284764,0.23018743097782135,0.23018743097782135,0.23018743097782135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.15860982239246368,0.1308918297290802,0.170023113489151,0.170023113489151,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.1471157968044281,0.14239999651908875,0.1496550738811493,0.1496550738811493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.14620027513731093,0.14239999651908875,0.1496550738811493,0.1496550738811493,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.181467849612236,0.15730337798595428,0.1908651441335678,0.1908651441335678,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.16154333474961194,0.158205047249794,0.158205047249794,0.158205047249794,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.13819578289985657,0.13819578289985657,0.13819578289985657,0.13819578289985657,"{""type"":""MultiPoint"",""coordinates"":[]}"
