system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.2290031073185114,0.22445102035999298,0.22445102035999298,0.22445102035999298,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.22137027978897095,0.22137027978897095,0.22137027978897095,0.22137027978897095,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.31552363254807214,0.2798826992511749,0.34522441029548645,0.34522441029548645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.34522441029548645,0.34522441029548645,0.34522441029548645,0.34522441029548645,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.3474159836769104,0.3474159836769104,0.3474159836769104,0.3474159836769104,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.34648877955400026,0.34522441029548645,0.3474159836769104,0.3474159836769104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.3087173700332642,0.2700187563896179,0.30871737003326416,0.3474159836769104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.22137027978897095,0.22137027978897095,0.22137027978897095,0.22137027978897095,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.2923287394500914,0.2798826992511749,0.2798826992511749,0.2798826992511749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.2700187563896179,0.2700187563896179,0.2700187563896179,0.2700187563896179,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.24071173937547774,0.23591823875904083,0.23591823875904083,0.23591823875904083,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.34664893299341204,0.34522441029548645,0.3474159836769104,0.3474159836769104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.3407725522463972,0.34522441029548645,0.34522441029548645,0.34522441029548645,"{""type"":""MultiPoint"",""coordinates"":[]}"
