system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.08791563000816564,-0.09048084914684296,-0.09048084914684296,-0.09048084914684296,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.10409379005432129,-0.10409379005432129,-0.10409379005432129,-0.10409379005432129,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.09646542302586816,-0.0975012555718422,-0.09560222923755646,-0.09560222923755646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.09560222923755646,-0.09560222923755646,-0.09560222923755646,-0.09560222923755646,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.09333240985870361,-0.09333240985870361,-0.09333240985870361,-0.09333240985870361,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.09429271805744906,-0.09560222923755646,-0.09333240985870361,-0.09333240985870361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.10222934558987617,-0.11112628132104874,-0.10222934558987617,-0.09333240985870361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.10409379005432129,-0.10409379005432129,-0.10409379005432129,-0.10409379005432129,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.09713953627007348,-0.0975012555718422,-0.0975012555718422,-0.0975012555718422,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.11112628132104874,-0.11112628132104874,-0.11112628132104874,-0.11112628132104874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.11604162660383043,-0.11471595615148544,-0.11471595615148544,-0.11471595615148544,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.09412684664130211,-0.09560222923755646,-0.09333240985870361,-0.09333240985870361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.09560698270797731,-0.09560222923755646,-0.09560222923755646,-0.09560222923755646,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.1195445970321695,-0.12218019366264343,-0.11845935136079788,-0.11845935136079788,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.0942982580512762,-0.10138773173093796,-0.09048084914684296,-0.09048084914684296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,-0.09567460275831675,-0.10138773173093796,-0.09048084914684296,-0.09048084914684296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,-0.12473802477121351,-0.1286354959011078,-0.1286354959011078,-0.11471595615148544,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,-0.09530691294507547,-0.09540093690156937,-0.09540093690156937,-0.09540093690156937,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,-0.11081314086914062,-0.11081314086914062,-0.11081314086914062,-0.11081314086914062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,-0.0982372984290123,-0.0982372984290123,-0.0982372984290123,-0.0982372984290123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,-0.12218019366264343,-0.12218019366264343,-0.12218019366264343,-0.12218019366264343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,-0.12837728381156924,-0.1286354959011078,-0.1286354959011078,-0.1286354959011078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,-0.08952206373214722,-0.09632200002670288,-0.09632200002670288,-0.08102214336395264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,-0.1286354959011078,-0.1286354959011078,-0.1286354959011078,-0.1286354959011078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,-0.08102214336395264,-0.08102214336395264,-0.08102214336395264,-0.08102214336395264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,-0.09540093690156937,-0.09540093690156937,-0.09540093690156937,-0.09540093690156937,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,-0.10235322266817093,-0.1106959655880928,-0.09540093690156937,-0.09540093690156937,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,-0.07485468573868276,-0.08102214336395264,-0.07153374701738358,-0.07153374701738358,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,-0.1106959655880928,-0.1106959655880928,-0.1106959655880928,-0.1106959655880928,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,-0.0982372984290123,-0.0982372984290123,-0.0982372984290123,-0.0982372984290123,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,-0.12294971197843552,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,-0.07639916241168976,-0.07639916241168976,-0.07639916241168976,-0.07639916241168976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,412209.921875,4206060.75,-0.0982372984290123,-0.0982372984290123,-0.0982372984290123,-0.0982372984290123,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,412322.234375,4206061.25,-0.11321322407041279,-0.11602842807769775,-0.11602842807769775,-0.11602842807769775,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,412219.40625,4206061.75,-0.09570680558681488,-0.09570680558681488,-0.09570680558681488,-0.09570680558681488,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,412277.859375,4206062.75,-0.12746180458502335,-0.1286354959011078,-0.1286354959011078,-0.1286354959011078,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,412175.421875,4206062.75,-0.10138773173093796,-0.10138773173093796,-0.10138773173093796,-0.10138773173093796,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,412381.9375,4206063.0,-0.07639916241168976,-0.07639916241168976,-0.07639916241168976,-0.07639916241168976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,412338.875,4206063.0,-0.09033509959345279,-0.09632200002670288,-0.09632200002670288,-0.08102214336395264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,412330.75,4206063.25,-0.09632200002670288,-0.09632200002670288,-0.09632200002670288,-0.09632200002670288,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,412226.59375,4206063.75,-0.09570680558681488,-0.09570680558681488,-0.09570680558681488,-0.09570680558681488,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,412234.75,4206065.25,-0.09627897766503421,-0.09540093690156937,-0.09540093690156937,-0.09540093690156937,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,412399.0625,4206065.25,-0.07696000554344871,-0.08081021904945374,-0.07375149428844452,-0.07375149428844452,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,412407.578125,4206065.5,-0.08042064824929604,-0.0968860611319542,-0.07170366495847702,-0.07170366495847702,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,412390.71875,4206065.5,-0.077112791793687,-0.08081021904945374,-0.07375149428844452,-0.07375149428844452,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,412347.421875,4206066.0,-0.09244723405156817,-0.10101605206727982,-0.10101605206727982,-0.08102214336395264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,412192.0,4206067.25,-0.11190206025327953,-0.11289198696613312,-0.11289198696613312,-0.11081314086914062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,412241.671875,4206067.75,-0.0984594455609719,-0.09926431626081467,-0.09926431626081467,-0.09926431626081467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,412416.65625,4206067.75,-0.07329817222697393,-0.07170366495847702,-0.07170366495847702,-0.07170366495847702,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,412356.65625,4206068.0,-0.09105917252600193,-0.09437813237309456,-0.0877402126789093,-0.0877402126789093,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,412251.609375,4206068.25,-0.11104987561702728,-0.11104987561702728,-0.11104987561702728,-0.11104987561702728,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,412425.90625,4206068.75,-0.0884459912776947,-0.0884459912776947,-0.0884459912776947,-0.0884459912776947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,412260.296875,4206069.0,-0.1153756409883499,-0.12186428904533386,-0.11104987561702728,-0.11104987561702728,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,412208.484375,4206069.75,-0.0939699187874794,-0.0939699187874794,-0.0939699187874794,-0.0939699187874794,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,412225.890625,4206070.25,-0.09455729275941849,-0.09455729275941849,-0.09455729275941849,-0.09455729275941849,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,412168.40625,4206070.5,-0.10427399927919562,-0.10397330671548843,-0.10397330671548843,-0.10397330671548843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,412381.671875,4206070.75,-0.08892399817705154,-0.08892399817705154,-0.08892399817705154,-0.08892399817705154,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130,412321.28125,4206070.75,-0.13605958223342896,-0.13605958223342896,-0.13605958223342896,-0.13605958223342896,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,412435.0625,4206071.25,-0.09230097495019435,-0.09437673538923264,-0.09437673538923264,-0.0884459912776947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,412218.4375,4206071.25,-0.09455729275941849,-0.09455729275941849,-0.09455729275941849,-0.09455729275941849,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,412268.28125,4206071.75,-0.12186428904533386,-0.12186428904533386,-0.12186428904533386,-0.12186428904533386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,412329.859375,4206071.75,-0.11520266532897949,-0.11520266532897949,-0.11520266532897949,-0.11520266532897949,"{""type"":""MultiPoint"",""coordinates"":[]}"
