system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.06320686237170146,-0.0664951503276825,-0.0664951503276825,-0.0664951503276825,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.05738285556435585,-0.05738285556435585,-0.05738285556435585,-0.05738285556435585,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.05779913067817688,-0.06003430485725403,-0.05593648552894592,-0.05593648552894592,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.05593648552894592,-0.05593648552894592,-0.05593648552894592,-0.05593648552894592,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.0445026196539402,-0.0445026196539402,-0.0445026196539402,-0.0445026196539402,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.049340024447211854,-0.05593648552894592,-0.0445026196539402,-0.0445026196539402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.05111752822995186,-0.057732436805963516,-0.05111752822995186,-0.0445026196539402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.05738285556435585,-0.05738285556435585,-0.05738285556435585,-0.05738285556435585,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.059253767842338205,-0.06003430485725403,-0.06003430485725403,-0.06003430485725403,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.057732436805963516,-0.057732436805963516,-0.057732436805963516,-0.057732436805963516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.050115782590139483,-0.048525869846343994,-0.048525869846343994,-0.048525869846343994,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.04850447271019221,-0.05593648552894592,-0.0445026196539402,-0.0445026196539402,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.05618634735318747,-0.05593648552894592,-0.05593648552894592,-0.05593648552894592,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.08673920917014281,-0.09472436457872391,-0.08345120400190353,-0.08345120400190353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.06612096577882767,-0.0664951503276825,-0.0664951503276825,-0.0654260516166687,"{""type"":""MultiPoint"",""coordinates"":[]}"
