system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.07599436892912938,-0.07563997060060501,-0.07563997060060501,-0.07563997060060501,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.0621149055659771,-0.0621149055659771,-0.0621149055659771,-0.0621149055659771,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.0829359848390926,-0.09019534289836884,-0.09019534289836884,-0.07422475516796112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.09019534289836884,-0.09019534289836884,-0.09019534289836884,-0.09019534289836884,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.09459459781646729,-0.09459459781646729,-0.09459459781646729,-0.09459459781646729,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.09273337458188717,-0.09459459781646729,-0.09459459781646729,-0.09019534289836884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.0981748178601265,-0.1017550379037857,-0.0981748178601265,-0.09459459781646729,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.0621149055659771,-0.0621149055659771,-0.0621149055659771,-0.0621149055659771,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.07726677187851497,-0.07422475516796112,-0.07422475516796112,-0.07422475516796112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.1017550379037857,-0.1017550379037857,-0.1017550379037857,-0.1017550379037857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.13006430012839182,-0.1284894049167633,-0.1284894049167633,-0.1284894049167633,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.09305485859513284,-0.09459459781646729,-0.09459459781646729,-0.09019534289836884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.09010216051881964,-0.09019534289836884,-0.09019534289836884,-0.09019534289836884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.1301809921860695,-0.13368453085422516,-0.12873835861682892,-0.12873835861682892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.0757534135133028,-0.07596409320831299,-0.07563997060060501,-0.07563997060060501,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,-0.07579431469951357,-0.07596409320831299,-0.07563997060060501,-0.07563997060060501,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,-0.1403956127166748,-0.1450258046388626,-0.1450258046388626,-0.1284894049167633,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,-0.09085088426416571,-0.09067261219024658,-0.09067261219024658,-0.09067261219024658,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,-0.13743793964385986,-0.13743793964385986,-0.13743793964385986,-0.13743793964385986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,-0.06212492659687996,-0.06212492659687996,-0.06212492659687996,-0.06212492659687996,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,-0.13743793964385986,-0.13743793964385986,-0.13743793964385986,-0.13743793964385986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,-0.06941155344247818,-0.06941155344247818,-0.06941155344247818,-0.06941155344247818,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,-0.13368453085422516,-0.13368453085422516,-0.13368453085422516,-0.13368453085422516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,-0.1445721536874771,-0.1450258046388626,-0.1450258046388626,-0.1450258046388626,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,-0.09986136191421086,-0.10715357959270477,-0.10715357959270477,-0.09074608981609344,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,-0.1450258046388626,-0.1450258046388626,-0.1450258046388626,-0.1450258046388626,"{""type"":""MultiPoint"",""coordinates"":[]}"
