system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.02547022635833575,-0.024968991056084633,-0.024968991056084633,-0.024968991056084633,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.04079081863164902,-0.04079081863164902,-0.04079081863164902,-0.04079081863164902,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.024385145103389568,-0.02798016369342804,-0.02798016369342804,-0.0200711227953434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.02798016369342804,-0.02798016369342804,-0.02798016369342804,-0.02798016369342804,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.014562813565135002,-0.014562813565135002,-0.014562813565135002,-0.014562813565135002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.020239384773258977,-0.02798016369342804,-0.014562813565135002,-0.014562813565135002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.03403343167155981,-0.05350404977798462,-0.03403343167155981,-0.014562813565135002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.04079081863164902,-0.04079081863164902,-0.04079081863164902,-0.04079081863164902,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.02157760677593095,-0.0200711227953434,-0.0200711227953434,-0.0200711227953434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.05350404977798462,-0.05350404977798462,-0.05350404977798462,-0.05350404977798462,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.005511515784919971,-0.003893455257639289,-0.003893455257639289,-0.003893455257639289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.019258886110037565,-0.02798016369342804,-0.014562813565135002,-0.014562813565135002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.029387763955376362,-0.02798016369342804,-0.02798016369342804,-0.02798016369342804,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.0545485111263891,-0.061769403517246246,-0.051575202494859695,-0.051575202494859695,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.040137157682329415,-0.06830660998821259,-0.024968991056084633,-0.024968991056084633,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,-0.045605952452336035,-0.06830660998821259,-0.024968991056084633,-0.024968991056084633,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,-0.01612599284388125,-0.020883090794086456,-0.020883090794086456,-0.003893455257639289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,-0.0292470036921176,-0.029946250841021538,-0.029946250841021538,-0.029946250841021538,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,-0.01313832402229309,-0.01313832402229309,-0.01313832402229309,-0.01313832402229309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,-0.03954540193080902,-0.03954540193080902,-0.03954540193080902,-0.03954540193080902,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,-0.01313832402229309,-0.01313832402229309,-0.01313832402229309,-0.01313832402229309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,-0.012877161614596844,-0.012877161614596844,-0.012877161614596844,-0.012877161614596844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,-0.061769403517246246,-0.061769403517246246,-0.061769403517246246,-0.061769403517246246,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,-0.02251854330301285,-0.020883090794086456,-0.020883090794086456,-0.020883090794086456,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.0474447798397806,0.022422127425670624,0.022422127425670624,0.07872309535741806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,-0.020883090794086456,-0.020883090794086456,-0.020883090794086456,-0.020883090794086456,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,-0.01313832402229309,-0.01313832402229309,-0.01313832402229309,-0.01313832402229309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.07872309535741806,0.07872309535741806,0.07872309535741806,0.07872309535741806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,-0.029946250841021538,-0.029946250841021538,-0.029946250841021538,-0.029946250841021538,"{""type"":""MultiPoint"",""coordinates"":[]}"
