system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.07582249578375083,-0.07400323450565338,-0.07400323450565338,-0.07400323450565338,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.06831539422273636,-0.06831539422273636,-0.06831539422273636,-0.06831539422273636,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.04601448875936595,-0.04996103420853615,-0.04272570088505745,-0.04272570088505745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.04272570088505745,-0.04272570088505745,-0.04272570088505745,-0.04272570088505745,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.02041544020175934,-0.02041544020175934,-0.02041544020175934,-0.02041544020175934,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.029854396644693155,-0.04272570088505745,-0.02041544020175934,-0.02041544020175934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.03074732050299644,-0.04107920080423355,-0.030747320502996445,-0.02041544020175934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.06831539422273636,-0.06831539422273636,-0.06831539422273636,-0.06831539422273636,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.048582875480254493,-0.04996103420853615,-0.04996103420853615,-0.04996103420853615,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.04107920080423355,-0.04107920080423355,-0.04107920080423355,-0.04107920080423355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.011185212504296075,-0.00967826321721077,-0.00967826321721077,-0.00967826321721077,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.028224031440913677,-0.04272570088505745,-0.02041544020175934,-0.02041544020175934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.04317819479514252,-0.04272570088505745,-0.04272570088505745,-0.04272570088505745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.0691133172561725,-0.07437868416309357,-0.06694522500038147,-0.06694522500038147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.08057903535664082,-0.09279123693704605,-0.07400323450565338,-0.07400323450565338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,-0.08294990233012609,-0.09279123693704605,-0.07400323450565338,-0.07400323450565338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,-0.021070799827575683,-0.025501230731606483,-0.025501230731606483,-0.00967826321721077,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,-0.048509048298001296,-0.0498468391597271,-0.0498468391597271,-0.0498468391597271,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.0116792107000947,0.0116792107000947,0.0116792107000947,0.0116792107000947,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,-0.08402366936206818,-0.08402366936206818,-0.08402366936206818,-0.08402366936206818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.0116792107000947,0.0116792107000947,0.0116792107000947,0.0116792107000947,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,-0.03903047740459442,-0.03903047740459442,-0.03903047740459442,-0.03903047740459442,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,-0.07437868416309357,-0.07437868416309357,-0.07437868416309357,-0.07437868416309357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,-0.027456328868865964,-0.025501230731606483,-0.025501230731606483,-0.025501230731606483,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.08005713257524702,0.06269042193889618,0.06269042193889618,0.10176552087068558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,-0.025501230731606483,-0.025501230731606483,-0.025501230731606483,-0.025501230731606483,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.0116792107000947,0.0116792107000947,0.0116792107000947,0.0116792107000947,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.10176552087068558,0.10176552087068558,0.10176552087068558,0.10176552087068558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,-0.0498468391597271,-0.0498468391597271,-0.0498468391597271,-0.0498468391597271,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,-0.05771656402132728,-0.0671602338552475,-0.0498468391597271,-0.0498468391597271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,0.0860027588903904,0.0775151178240776,0.0775151178240776,0.10176552087068558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,-0.0671602338552475,-0.0671602338552475,-0.0671602338552475,-0.0671602338552475,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,-0.03903047740459442,-0.03903047740459442,-0.03903047740459442,-0.03903047740459442,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,0.0116792107000947,0.0116792107000947,0.0116792107000947,0.0116792107000947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,0.062255505472421646,0.062255505472421646,0.062255505472421646,0.062255505472421646,"{""type"":""MultiPoint"",""coordinates"":[]}"
