system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.08782638609409332,-0.0868043527007103,-0.0868043527007103,-0.0868043527007103,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.08604805916547775,-0.08604805916547775,-0.08604805916547775,-0.08604805916547775,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.08878668600862676,-0.08933669328689575,-0.08832834661006927,-0.08832834661006927,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.08832834661006927,-0.08832834661006927,-0.08832834661006927,-0.08832834661006927,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.08337234705686569,-0.08337234705686569,-0.08337234705686569,-0.08337234705686569,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.08546911609860566,-0.08832834661006927,-0.08337234705686569,-0.08337234705686569,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.09151934832334518,-0.09966634958982468,-0.09151934832334518,-0.08337234705686569,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.08604805916547775,-0.08604805916547775,-0.08604805916547775,-0.08604805916547775,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.08914462725321452,-0.08933669328689575,-0.08933669328689575,-0.08933669328689575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.09966634958982468,-0.09966634958982468,-0.09966634958982468,-0.09966634958982468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.09879759628148306,-0.09730363637208939,-0.09730363637208939,-0.09730363637208939,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.08510694690048695,-0.08832834661006927,-0.08337234705686569,-0.08337234705686569,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.0885505811734633,-0.08832834661006927,-0.08832834661006927,-0.08832834661006927,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.10599337176730236,-0.11145593225955963,-0.10374408215284348,-0.10374408215284348,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.08921973779797554,-0.09370545297861099,-0.0868043527007103,-0.0868043527007103,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,-0.09009059092828206,-0.09370545297861099,-0.0868043527007103,-0.0868043527007103,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,-0.10859797328710556,-0.11299021542072296,-0.11299021542072296,-0.09730363637208939,"{""type"":""MultiPoint"",""coordinates"":[]}"
