system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.11583080429297227,0.11447855830192566,0.11447855830192566,0.11447855830192566,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.10031679272651672,0.10031679272651672,0.10031679272651672,0.10031679272651672,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.13466522368517791,0.1207742989063263,0.1462409943342209,0.1462409943342209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.1462409943342209,0.1462409943342209,0.1462409943342209,0.1462409943342209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.13716942071914673,0.13716942071914673,0.13716942071914673,0.13716942071914673,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.14100739417167812,0.13716942071914673,0.13716942071914673,0.1462409943342209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.1297883316874504,0.12240724265575409,0.1297883316874504,0.13716942071914673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.10031679272651672,0.10031679272651672,0.10031679272651672,0.10031679272651672,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.12562509803544908,0.1207742989063263,0.1207742989063263,0.1207742989063263,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.12240724265575409,0.12240724265575409,0.12240724265575409,0.12240724265575409,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.11473711331685384,0.1135910153388977,0.1135910153388977,0.1135910153388977,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.1403444714844227,0.13716942071914673,0.13716942071914673,0.1462409943342209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.14467338777401229,0.1462409943342209,0.1462409943342209,0.1462409943342209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.12315200952192148,0.1102851927280426,0.12845011055469513,0.12845011055469513,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.11109208017587661,0.10480290651321411,0.11447855830192566,0.11447855830192566,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.10987110506920587,0.10480290651321411,0.11447855830192566,0.11447855830192566,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.1222555160522461,0.1135910153388977,0.12562504410743713,0.12562504410743713,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.12462500753727825,0.12402765452861786,0.12402765452861786,0.12402765452861786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.0882115289568901,0.0882115289568901,0.0882115289568901,0.0882115289568901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.10135912150144577,0.10135912150144577,0.10135912150144577,0.10135912150144577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.0882115289568901,0.0882115289568901,0.0882115289568901,0.0882115289568901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.1122390627861023,0.1122390627861023,0.1122390627861023,0.1122390627861023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.1102851927280426,0.1102851927280426,0.1102851927280426,0.1102851927280426,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.12501145005226136,0.12562504410743713,0.12562504410743713,0.12562504410743713,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.11250537468327418,0.10565541684627533,0.10565541684627533,0.1210678219795227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.12562504410743713,0.12562504410743713,0.12562504410743713,0.12562504410743713,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.0882115289568901,0.0882115289568901,0.0882115289568901,0.0882115289568901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.1210678219795227,0.1210678219795227,0.1210678219795227,0.1210678219795227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,0.12402765452861786,0.12402765452861786,0.12402765452861786,0.12402765452861786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,0.12508863752538507,0.12402765452861786,0.12402765452861786,0.12636181712150574,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,0.1156434118747711,0.11272257566452026,0.11272257566452026,0.1210678219795227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,0.12636181712150574,0.12636181712150574,0.12636181712150574,0.12636181712150574,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,0.1122390627861023,0.1122390627861023,0.1122390627861023,0.1122390627861023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,0.0882115289568901,0.0882115289568901,0.0882115289568901,0.0882115289568901,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,0.12348490208387375,0.12348490208387375,0.12348490208387375,0.12348490208387375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,412209.921875,4206060.75,0.1122390627861023,0.1122390627861023,0.1122390627861023,0.1122390627861023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,412322.234375,4206061.25,0.09382360535008566,0.09185163676738739,0.09185163676738739,0.09185163676738739,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,412219.40625,4206061.75,0.11175365000963211,0.11175365000963211,0.11175365000963211,0.11175365000963211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,412277.859375,4206062.75,0.1228359802202745,0.12562504410743713,0.12562504410743713,0.12562504410743713,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,412175.421875,4206062.75,0.10480290651321411,0.10480290651321411,0.10480290651321411,0.10480290651321411,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,412381.9375,4206063.0,0.12348490208387375,0.12348490208387375,0.12348490208387375,0.12348490208387375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,412338.875,4206063.0,0.11168635798537214,0.10565541684627533,0.10565541684627533,0.1210678219795227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,412330.75,4206063.25,0.10565541684627533,0.10565541684627533,0.10565541684627533,0.10565541684627533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,412226.59375,4206063.75,0.11175365000963211,0.11175365000963211,0.11175365000963211,0.11175365000963211,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,412234.75,4206065.25,0.12245165692134338,0.12402765452861786,0.12402765452861786,0.12402765452861786,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,412399.0625,4206065.25,0.1257169314406135,0.12157738208770752,0.12157738208770752,0.13068439066410065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,412407.578125,4206065.5,0.12853790647708452,0.12555748224258423,0.12555748224258423,0.1341675966978073,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,412390.71875,4206065.5,0.1259140528383709,0.12157738208770752,0.12157738208770752,0.13068439066410065,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,412347.421875,4206066.0,0.1115043418748038,0.10433173179626465,0.10433173179626465,0.1210678219795227,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,412192.0,4206067.25,0.09621355221385047,0.09153576195240021,0.09153576195240021,0.10135912150144577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,412241.671875,4206067.75,0.11853792952994505,0.11709326505661011,0.11709326505661011,0.11709326505661011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,412416.65625,4206067.75,0.12622259912036712,0.12555748224258423,0.12555748224258423,0.12555748224258423,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,412356.65625,4206068.0,0.11029856279492378,0.10830961912870407,0.1122875064611435,0.1122875064611435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,412251.609375,4206068.25,0.11314167082309723,0.11314167082309723,0.11314167082309723,0.11314167082309723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,412425.90625,4206068.75,0.1325412094593048,0.1325412094593048,0.1325412094593048,0.1325412094593048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,412260.296875,4206069.0,0.10945429801940917,0.1039232388138771,0.11314167082309723,0.11314167082309723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,412208.484375,4206069.75,0.11332663893699646,0.11332663893699646,0.11332663893699646,0.11332663893699646,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,412225.890625,4206070.25,0.14487633109092712,0.14487633109092712,0.14487633109092712,0.14487633109092712,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,412168.40625,4206070.5,0.09537316452373158,0.0911102443933487,0.0911102443933487,0.0911102443933487,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,412381.671875,4206070.75,0.10808790475130081,0.10808790475130081,0.10808790475130081,0.10808790475130081,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130,412321.28125,4206070.75,0.10528779029846191,0.10528779029846191,0.10528779029846191,0.10528779029846191,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,412435.0625,4206071.25,0.131419637799263,0.13081571459770203,0.13081571459770203,0.1325412094593048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,412218.4375,4206071.25,0.14487633109092712,0.14487633109092712,0.14487633109092712,0.14487633109092712,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,412268.28125,4206071.75,0.1039232388138771,0.1039232388138771,0.1039232388138771,0.1039232388138771,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,412329.859375,4206071.75,0.10571428388357162,0.10571428388357162,0.10571428388357162,0.10571428388357162,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,412276.796875,4206072.25,0.12288218826055526,0.1039232388138771,0.13777850568294525,0.13777850568294525,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,412442.328125,4206072.5,0.13081571459770203,0.13081571459770203,0.13081571459770203,0.13081571459770203,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,412234.6875,4206072.75,0.11709326505661011,0.11709326505661011,0.11709326505661011,0.11709326505661011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,412389.34375,4206072.75,0.12093502602406911,0.12157738208770752,0.12157738208770752,0.12157738208770752,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,412338.546875,4206073.25,0.105337224223397,0.10433173179626465,0.10571428388357162,0.10571428388357162,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,412182.0625,4206073.75,0.09133313454332807,0.0911102443933487,0.09153576195240021,0.09153576195240021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,412399.40625,4206074.5,0.12157738208770752,0.12157738208770752,0.12157738208770752,0.12157738208770752,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,412462.03125,4206074.75,0.14214085042476654,0.14214085042476654,0.14214085042476654,0.14214085042476654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,412452.09375,4206075.0,0.1411970891058445,0.14214085042476654,0.14214085042476654,0.14214085042476654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,412346.0,4206075.25,0.10433173179626465,0.10433173179626465,0.10433173179626465,0.10433173179626465,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,412250.546875,4206075.75,0.11314167082309723,0.11314167082309723,0.11314167082309723,0.11314167082309723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,412241.5,4206076.25,0.11709326505661011,0.11709326505661011,0.11709326505661011,0.11709326505661011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,412407.921875,4206076.5,0.12555748224258423,0.12555748224258423,0.12555748224258423,0.12555748224258423,"{""type"":""MultiPoint"",""coordinates"":[]}"
