system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.24710779522473994,0.24377836287021637,0.24377836287021637,0.24377836287021637,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.2509786784648895,0.2509786784648895,0.2509786784648895,0.2509786784648895,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.27090501243417914,0.2612020969390869,0.278990775346756,0.278990775346756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.278990775346756,0.278990775346756,0.278990775346756,0.278990775346756,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.24539877474308014,0.24539877474308014,0.24539877474308014,0.24539877474308014,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.25961077499848145,0.24539877474308014,0.24539877474308014,0.278990775346756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.2518487647175789,0.24539877474308014,0.2518487647175789,0.25829875469207764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.2509786784648895,0.2509786784648895,0.2509786784648895,0.2509786784648895,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.26459041663578575,0.2612020969390869,0.2612020969390869,0.2612020969390869,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.25829875469207764,0.25829875469207764,0.25829875469207764,0.25829875469207764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.24188998412518273,0.23786039650440216,0.23786039650440216,0.23786039650440216,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.2571559749543667,0.24539877474308014,0.24539877474308014,0.278990775346756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.27580542049624707,0.278990775346756,0.278990775346756,0.278990775346756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.2358580989142259,0.200210839509964,0.25053638219833374,0.25053638219833374,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.23093557059764863,0.20708467066287994,0.24377836287021637,0.24377836287021637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.22630517610481807,0.20708467066287994,0.24377836287021637,0.24377836287021637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.2683240789175033,0.23786039650440216,0.28017106652259827,0.28017106652259827,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.2371708405288783,0.23677903413772583,0.23677903413772583,0.23677903413772583,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.21878914535045624,0.21878914535045624,0.21878914535045624,0.21878914535045624,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.2262658178806305,0.2262658178806305,0.2262658178806305,0.2262658178806305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.21878914535045624,0.21878914535045624,0.21878914535045624,0.21878914535045624,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.23559243977069855,0.23559243977069855,0.23559243977069855,0.23559243977069855,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.200210839509964,0.200210839509964,0.200210839509964,0.200210839509964,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.2769726574420929,0.28017106652259827,0.28017106652259827,0.28017106652259827,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.261045570174853,0.24955476820468903,0.24955476820468903,0.275409072637558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.28017106652259827,0.28017106652259827,0.28017106652259827,0.28017106652259827,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.21878914535045624,0.21878914535045624,0.21878914535045624,0.21878914535045624,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.275409072637558,0.275409072637558,0.275409072637558,0.275409072637558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,0.23677903413772583,0.23677903413772583,0.23677903413772583,0.23677903413772583,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,0.23970241844654086,0.23677903413772583,0.23677903413772583,0.24321047961711884,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,0.25596600472927095,0.24549666047096252,0.24549666047096252,0.275409072637558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,0.24321047961711884,0.24321047961711884,0.24321047961711884,0.24321047961711884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,0.23559243977069855,0.23559243977069855,0.23559243977069855,0.23559243977069855,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,0.21878914535045624,0.21878914535045624,0.21878914535045624,0.21878914535045624,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,0.2577457129955292,0.2577457129955292,0.2577457129955292,0.2577457129955292,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,412209.921875,4206060.75,0.23559243977069855,0.23559243977069855,0.23559243977069855,0.23559243977069855,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,412322.234375,4206061.25,0.24345364953790388,0.24243679642677307,0.24243679642677307,0.24243679642677307,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,412219.40625,4206061.75,0.20891296863555908,0.20891296863555908,0.20891296863555908,0.20891296863555908,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,412277.859375,4206062.75,0.26563284342939203,0.28017106652259827,0.28017106652259827,0.28017106652259827,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,412175.421875,4206062.75,0.20708467066287994,0.20708467066287994,0.20708467066287994,0.20708467066287994,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,412381.9375,4206063.0,0.2577457129955292,0.2577457129955292,0.2577457129955292,0.2577457129955292,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,412338.875,4206063.0,0.2596716699392899,0.24955476820468903,0.24955476820468903,0.275409072637558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,412330.75,4206063.25,0.24955476820468903,0.24955476820468903,0.24955476820468903,0.24955476820468903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,412226.59375,4206063.75,0.20891296863555908,0.20891296863555908,0.20891296863555908,0.20891296863555908,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,412234.75,4206065.25,0.24253395064310593,0.23677903413772583,0.23677903413772583,0.23677903413772583,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,412399.0625,4206065.25,0.2234423661773855,0.21772558987140656,0.21772558987140656,0.23030249774456024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,412407.578125,4206065.5,0.2143039514239018,0.2050710916519165,0.2050710916519165,0.23174379765987396,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,412390.71875,4206065.5,0.2237145936205273,0.21772558987140656,0.21772558987140656,0.23030249774456024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,412347.421875,4206066.0,0.24519308550017221,0.22253109514713287,0.22253109514713287,0.275409072637558,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,412192.0,4206067.25,0.21338413939589546,0.20167352259159088,0.20167352259159088,0.2262658178806305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,412241.671875,4206067.75,0.25682532663146657,0.2621006667613983,0.2621006667613983,0.2621006667613983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,412416.65625,4206067.75,0.20944184064865112,0.2050710916519165,0.2050710916519165,0.2050710916519165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,412356.65625,4206068.0,0.2377772964537144,0.23269522935152054,0.2428593635559082,0.2428593635559082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,412251.609375,4206068.25,0.2185894399881363,0.2185894399881363,0.2185894399881363,0.2185894399881363,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,412425.90625,4206068.75,0.25096395611763,0.25096395611763,0.25096395611763,0.25096395611763,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,412260.296875,4206069.0,0.2110968977212906,0.19985808432102203,0.2185894399881363,0.2185894399881363,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,412208.484375,4206069.75,0.27201950550079346,0.27201950550079346,0.27201950550079346,0.27201950550079346,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,412225.890625,4206070.25,0.27484938502311707,0.27484938502311707,0.27484938502311707,0.27484938502311707,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,412168.40625,4206070.5,0.18776144967837766,0.18596425652503967,0.18596425652503967,0.18596425652503967,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,412381.671875,4206070.75,0.22220396995544434,0.22220396995544434,0.22220396995544434,0.22220396995544434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130,412321.28125,4206070.75,0.2422613948583603,0.2422613948583603,0.2422613948583603,0.2422613948583603,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,412435.0625,4206071.25,0.26152842193841935,0.25096395611763,0.2672169804573059,0.2672169804573059,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,412218.4375,4206071.25,0.27484938502311707,0.27484938502311707,0.27484938502311707,0.27484938502311707,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,412268.28125,4206071.75,0.19985808432102203,0.19985808432102203,0.19985808432102203,0.19985808432102203,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,412329.859375,4206071.75,0.21651294827461243,0.21651294827461243,0.21651294827461243,0.21651294827461243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,412276.796875,4206072.25,0.24534584939479828,0.19985808432102203,0.2810862362384796,0.2810862362384796,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,412442.328125,4206072.5,0.2672169804573059,0.2672169804573059,0.2672169804573059,0.2672169804573059,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,412234.6875,4206072.75,0.2621006667613983,0.2621006667613983,0.2621006667613983,0.2621006667613983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,412389.34375,4206072.75,0.21793884606588457,0.21772558987140656,0.21772558987140656,0.21772558987140656,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,412338.546875,4206073.25,0.2181542610580271,0.21651294827461243,0.21651294827461243,0.22253109514713287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,412182.0625,4206073.75,0.19419291970275698,0.18596425652503967,0.20167352259159088,0.20167352259159088,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,412399.40625,4206074.5,0.21772558987140656,0.21772558987140656,0.21772558987140656,0.21772558987140656,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,412462.03125,4206074.75,0.2972596287727356,0.2972596287727356,0.2972596287727356,0.2972596287727356,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,412452.09375,4206075.0,0.29475607474644977,0.2972596287727356,0.2972596287727356,0.2972596287727356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,412346.0,4206075.25,0.22253109514713287,0.22253109514713287,0.22253109514713287,0.22253109514713287,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,412250.546875,4206075.75,0.2185894399881363,0.2185894399881363,0.2185894399881363,0.2185894399881363,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,412241.5,4206076.25,0.2621006667613983,0.2621006667613983,0.2621006667613983,0.2621006667613983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,412407.921875,4206076.5,0.2050710916519165,0.2050710916519165,0.2050710916519165,0.2050710916519165,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,412208.75,4206076.5,0.27201950550079346,0.27201950550079346,0.27201950550079346,0.27201950550079346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,412469.296875,4206077.0,0.2568366229534149,0.2568366229534149,0.2568366229534149,0.2568366229534149,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,412415.375,4206077.25,0.2050710916519165,0.2050710916519165,0.2050710916519165,0.2050710916519165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,412424.0625,4206077.25,0.25096395611763,0.25096395611763,0.25096395611763,0.25096395611763,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,412309.453125,4206078.0,0.25474728271365166,0.2422613948583603,0.2422613948583603,0.267233170568943,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,412303.59375,4206078.0,0.29220494627952576,0.29220494627952576,0.29220494627952576,0.29220494627952576,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,412478.0,4206078.25,0.2568366229534149,0.2568366229534149,0.2568366229534149,0.2568366229534149,"{""type"":""MultiPoint"",""coordinates"":[]}"
