system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.17160401607935247,0.16989737749099731,0.16989737749099731,0.16989737749099731,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.15530861914157867,0.15530861914157867,0.15530861914157867,0.15530861914157867,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.20836735719984228,0.19580091536045074,0.2188393920660019,0.2188393920660019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.2188393920660019,0.2188393920660019,0.2188393920660019,0.2188393920660019,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.20524798333644867,0.20524798333644867,0.20524798333644867,0.20524798333644867,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.2109981947220289,0.20524798333644867,0.20524798333644867,0.2188393920660019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.19857966154813766,0.19191133975982666,0.19857966154813766,0.20524798333644867,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.15530861914157867,0.15530861914157867,0.15530861914157867,0.15530861914157867,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.20018919663769857,0.19580091536045074,0.19580091536045074,0.19580091536045074,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.19191133975982666,0.19191133975982666,0.19191133975982666,0.19191133975982666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.22109983435698918,0.2203650325536728,0.2203650325536728,0.2203650325536728,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.2100049763917923,0.20524798333644867,0.20524798333644867,0.2188393920660019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.21683059429580515,0.2188393920660019,0.2188393920660019,0.2188393920660019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.18825778737664223,0.17825868725776672,0.1923750638961792,0.1923750638961792,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.16991827562451361,0.16989737749099731,0.16989737749099731,0.16995708644390106,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.16992581032571338,0.16989737749099731,0.16989737749099731,0.16995708644390106,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.22592013418674467,0.2203650325536728,0.22808045148849487,0.22808045148849487,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.18637601150707767,0.1854773461818695,0.1854773461818695,0.1854773461818695,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.195142462849617,0.195142462849617,0.195142462849617,0.195142462849617,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.16436637938022614,0.16436637938022614,0.16436637938022614,0.16436637938022614,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.195142462849617,0.195142462849617,0.195142462849617,0.195142462849617,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.20177555084228516,0.20177555084228516,0.20177555084228516,0.20177555084228516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.17825868725776672,0.17825868725776672,0.17825868725776672,0.17825868725776672,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.22608758091926576,0.22808045148849487,0.22808045148849487,0.22808045148849487,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.18841196265485552,0.17132799327373505,0.17132799327373505,0.2097669243812561,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.22808045148849487,0.22808045148849487,0.22808045148849487,0.22808045148849487,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.195142462849617,0.195142462849617,0.195142462849617,0.195142462849617,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.2097669243812561,0.2097669243812561,0.2097669243812561,0.2097669243812561,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,0.1854773461818695,0.1854773461818695,0.1854773461818695,0.1854773461818695,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,0.19252057644453913,0.1854773461818695,0.1854773461818695,0.20097245275974274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,0.20013496428728103,0.19494852423667908,0.19494852423667908,0.2097669243812561,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,0.20097245275974274,0.20097245275974274,0.20097245275974274,0.20097245275974274,"{""type"":""MultiPoint"",""coordinates"":[]}"
