system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.16996093495534018,0.16602221131324768,0.16602221131324768,0.16602221131324768,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.15185633301734924,0.15185633301734924,0.15185633301734924,0.15185633301734924,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.19889621436595917,0.1749771684408188,0.21882875263690948,0.21882875263690948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.21882875263690948,0.21882875263690948,0.21882875263690948,0.21882875263690948,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.1961202621459961,0.1961202621459961,0.1961202621459961,0.1961202621459961,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.2057277004306133,0.1961202621459961,0.1961202621459961,0.21882875263690948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.18374815583229062,0.1713760495185852,0.18374815583229065,0.1961202621459961,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.15185633301734924,0.15185633301734924,0.15185633301734924,0.15185633301734924,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.18332985114483608,0.1749771684408188,0.1749771684408188,0.1749771684408188,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.1713760495185852,0.1713760495185852,0.1713760495185852,0.1713760495185852,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.18713754770301638,0.181804820895195,0.181804820895195,0.181804820895195,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.20406823381781578,0.1961202621459961,0.1961202621459961,0.21882875263690948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.21644802865656942,0.21882875263690948,0.21882875263690948,0.21882875263690948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.17807143678267798,0.17605705559253693,0.17605705559253693,0.1829635053873062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.16257095262408255,0.15616147220134735,0.16602221131324768,0.16602221131324768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.1613266212599618,0.15616147220134735,0.16602221131324768,0.16602221131324768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.2221202355623245,0.181804820895195,0.23779845237731934,0.23779845237731934,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.18254895914684643,0.1819027066230774,0.1819027066230774,0.1819027066230774,"{""type"":""MultiPoint"",""coordinates"":[]}"
