system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.07875282088151345,-0.07590217143297195,-0.07590217143297195,-0.07590217143297195,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.0961233451962471,-0.0961233451962471,-0.0961233451962471,-0.0961233451962471,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.08602665161544626,-0.09552402049303055,-0.0781121775507927,-0.0781121775507927,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.0781121775507927,-0.0781121775507927,-0.0781121775507927,-0.0781121775507927,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.06861016899347305,-0.06861016899347305,-0.06861016899347305,-0.06861016899347305,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.07263024953695445,-0.0781121775507927,-0.06861016899347305,-0.06861016899347305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.08532549440860748,-0.10204081982374191,-0.08532549440860748,-0.06861016899347305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.0961233451962471,-0.0961233451962471,-0.0961233451962471,-0.0961233451962471,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.09220747898022334,-0.09552402049303055,-0.09552402049303055,-0.09552402049303055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.10204081982374191,-0.10204081982374191,-0.10204081982374191,-0.10204081982374191,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.10026394114607856,-0.09816029667854309,-0.09816029667854309,-0.09816029667854309,"{""type"":""MultiPoint"",""coordinates"":[]}"
