system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.1773270655136842,0.17377832531929016,0.17377832531929016,0.17377832531929016,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.15965746343135834,0.15965746343135834,0.15965746343135834,0.15965746343135834,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.1916789791800759,0.17238539457321167,0.20775696635246277,0.20775696635246277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.20775696635246277,0.20775696635246277,0.20775696635246277,0.20775696635246277,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.1808590292930603,0.1808590292930603,0.1808590292930603,0.1808590292930603,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.19223892574126905,0.1808590292930603,0.1808590292930603,0.20775696635246277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.17912397533655167,0.17738892138004303,0.17912397533655167,0.1808590292930603,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.15965746343135834,0.15965746343135834,0.15965746343135834,0.15965746343135834,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.17912283681687852,0.17238539457321167,0.17238539457321167,0.17238539457321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.17738892138004303,0.17738892138004303,0.17738892138004303,0.17738892138004303,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.16862382846219198,0.1659235805273056,0.1659235805273056,0.1659235805273056,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.19027330726385117,0.1808590292930603,0.1808590292930603,0.20775696635246277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.20635637911883267,0.20775696635246277,0.20775696635246277,0.20775696635246277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.1780882632980744,0.17190074920654297,0.18063606321811676,0.18063606321811676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.17120768278837203,0.16643363237380981,0.17377832531929016,0.17377832531929016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.17028085248810904,0.16643363237380981,0.17377832531929016,0.17377832531929016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.1863374549150467,0.1659235805273056,0.19427618384361267,0.19427618384361267,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.184397393329577,0.18456588685512543,0.18456588685512543,0.18456588685512543,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.16838060319423676,0.16838060319423676,0.16838060319423676,0.16838060319423676,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.14823801815509796,0.14823801815509796,0.14823801815509796,0.14823801815509796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.16838060319423676,0.16838060319423676,0.16838060319423676,0.16838060319423676,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.15773390233516693,0.15773390233516693,0.15773390233516693,0.15773390233516693,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.17190074920654297,0.17190074920654297,0.17190074920654297,0.17190074920654297,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.19338116645812986,0.19427618384361267,0.19427618384361267,0.19427618384361267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.17401502695348528,0.16747744381427765,0.16747744381427765,0.1821870058774948,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.19427618384361267,0.19427618384361267,0.19427618384361267,0.19427618384361267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.16838060319423676,0.16838060319423676,0.16838060319423676,0.16838060319423676,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.1821870058774948,0.1821870058774948,0.1821870058774948,0.1821870058774948,"{""type"":""MultiPoint"",""coordinates"":[]}"
