system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.03877583275047632,-0.03902486339211464,-0.03902486339211464,-0.03902486339211464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.04839096590876579,-0.04839096590876579,-0.04839096590876579,-0.04839096590876579,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.04896446960893545,-0.049446605145931244,-0.049446605145931244,-0.04838590696454048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.049446605145931244,-0.049446605145931244,-0.049446605145931244,-0.049446605145931244,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.045202337205410004,-0.045202337205410004,-0.045202337205410004,-0.045202337205410004,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.04699798902639976,-0.049446605145931244,-0.045202337205410004,-0.045202337205410004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.05355454795062541,-0.061906758695840836,-0.05355454795062542,-0.045202337205410004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.04839096590876579,-0.04839096590876579,-0.04839096590876579,-0.04839096590876579,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.04858794471337682,-0.04838590696454048,-0.04838590696454048,-0.04838590696454048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.061906758695840836,-0.061906758695840836,-0.061906758695840836,-0.061906758695840836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.052421238982961284,-0.05127205327153206,-0.05127205327153206,-0.05127205327153206,"{""type"":""MultiPoint"",""coordinates"":[]}"
