system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.036843931732269436,-0.03645680099725723,-0.03645680099725723,-0.03645680099725723,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.0484561026096344,-0.0484561026096344,-0.0484561026096344,-0.0484561026096344,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.04706517505374822,-0.04729152098298073,-0.04687655344605446,-0.04687655344605446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.04687655344605446,-0.04687655344605446,-0.04687655344605446,-0.04687655344605446,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.04289422184228897,-0.04289422184228897,-0.04289422184228897,-0.04289422184228897,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.044579054443882056,-0.04687655344605446,-0.04289422184228897,-0.04289422184228897,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.05309494212269783,-0.06329566240310669,-0.05309494212269783,-0.04289422184228897,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.0484561026096344,-0.0484561026096344,-0.0484561026096344,-0.0484561026096344,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.04721247954737572,-0.04729152098298073,-0.04729152098298073,-0.04729152098298073,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.06329566240310669,-0.06329566240310669,-0.06329566240310669,-0.06329566240310669,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.05545337906196004,-0.054778072983026505,-0.054778072983026505,-0.054778072983026505,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.04428803790360689,-0.04687655344605446,-0.04289422184228897,-0.04289422184228897,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.04687064564363523,-0.04687655344605446,-0.04687655344605446,-0.04687655344605446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.06552424871673186,-0.06555034965276718,-0.06555034965276718,-0.06546086072921753,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.03779156822711229,-0.04027042165398598,-0.03645680099725723,-0.03645680099725723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,-0.03827281083379473,-0.04027042165398598,-0.03645680099725723,-0.03645680099725723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,-0.05988338693976402,-0.06186878681182861,-0.06186878681182861,-0.054778072983026505,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,-0.04711255278776993,-0.047313425689935684,-0.047313425689935684,-0.047313425689935684,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,-0.05208373814821243,-0.05208373814821243,-0.05208373814821243,-0.05208373814821243,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,-0.04541008919477463,-0.04541008919477463,-0.04541008919477463,-0.04541008919477463,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,-0.06546086072921753,-0.06546086072921753,-0.06546086072921753,-0.06546086072921753,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,-0.062012469768524175,-0.06186878681182861,-0.06186878681182861,-0.06186878681182861,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,-0.03372502037220532,-0.03537735715508461,-0.03537735715508461,-0.031659599393606186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,-0.06186878681182861,-0.06186878681182861,-0.06186878681182861,-0.06186878681182861,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,-0.031659599393606186,-0.031659599393606186,-0.031659599393606186,-0.031659599393606186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,-0.047313425689935684,-0.047313425689935684,-0.047313425689935684,-0.047313425689935684,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,-0.05420559543100271,-0.06247619912028313,-0.047313425689935684,-0.047313425689935684,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,-0.02788371806964278,-0.031659599393606186,-0.025850551202893257,-0.025850551202893257,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,-0.06247619912028313,-0.06247619912028313,-0.06247619912028313,-0.06247619912028313,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,-0.04541008919477463,-0.04541008919477463,-0.04541008919477463,-0.04541008919477463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,-0.05432460084557533,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,-0.031021330505609512,-0.031021330505609512,-0.031021330505609512,-0.031021330505609512,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,412209.921875,4206060.75,-0.04541008919477463,-0.04541008919477463,-0.04541008919477463,-0.04541008919477463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,412322.234375,4206061.25,-0.047790320324046266,-0.049859147518873215,-0.049859147518873215,-0.049859147518873215,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,412219.40625,4206061.75,-0.04674658179283142,-0.04674658179283142,-0.04674658179283142,-0.04674658179283142,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,412277.859375,4206062.75,-0.06252189116044479,-0.06186878681182861,-0.06186878681182861,-0.06186878681182861,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,412175.421875,4206062.75,-0.04027042165398598,-0.04027042165398598,-0.04027042165398598,-0.04027042165398598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,412381.9375,4206063.0,-0.031021330505609512,-0.031021330505609512,-0.031021330505609512,-0.031021330505609512,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,412338.875,4206063.0,-0.03392258237885392,-0.03537735715508461,-0.03537735715508461,-0.031659599393606186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,412330.75,4206063.25,-0.03537735715508461,-0.03537735715508461,-0.03537735715508461,-0.03537735715508461,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,412226.59375,4206063.75,-0.04674658179283142,-0.04674658179283142,-0.04674658179283142,-0.04674658179283142,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,412234.75,4206065.25,-0.04685307548127391,-0.047313425689935684,-0.047313425689935684,-0.047313425689935684,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,412399.0625,4206065.25,-0.030838034708391533,-0.036288633942604065,-0.026295868679881096,-0.026295868679881096,"{""type"":""MultiPoint"",""coordinates"":[]}"
