system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.03724149027122901,-0.03733097389340401,-0.03733097389340401,-0.03733097389340401,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.057985272258520126,-0.057985272258520126,-0.057985272258520126,-0.057985272258520126,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.05878905071453615,-0.060317263007164,-0.060317263007164,-0.05695519596338272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.060317263007164,-0.060317263007164,-0.060317263007164,-0.060317263007164,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.05348220467567444,-0.05348220467567444,-0.05348220467567444,-0.05348220467567444,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.05637396012361233,-0.060317263007164,-0.05348220467567444,-0.05348220467567444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.062405910342931754,-0.07132961601018906,-0.06240591034293175,-0.05348220467567444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.057985272258520126,-0.057985272258520126,-0.057985272258520126,-0.057985272258520126,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.057595589686007725,-0.05695519596338272,-0.05695519596338272,-0.05695519596338272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.07132961601018906,-0.07132961601018906,-0.07132961601018906,-0.07132961601018906,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.06823669622341792,-0.0679263100028038,-0.0679263100028038,-0.0679263100028038,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,-0.05587447509169579,-0.060317263007164,-0.05348220467567444,-0.05348220467567444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,-0.060092319141734726,-0.060317263007164,-0.060317263007164,-0.060317263007164,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,-0.06946380964169899,-0.06977766752243042,-0.06933457404375076,-0.06933457404375076,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,-0.04028897508978843,-0.04578240588307381,-0.03733097389340401,-0.03733097389340401,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,-0.04135546531705629,-0.04578240588307381,-0.03733097389340401,-0.03733097389340401,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,-0.07027282983064652,-0.07118536531925201,-0.07118536531925201,-0.0679263100028038,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,-0.0535583555359732,-0.053561981767416,-0.053561981767416,-0.053561981767416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,-0.06195593625307083,-0.06195593625307083,-0.06195593625307083,-0.06195593625307083,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,-0.05595054104924202,-0.05595054104924202,-0.05595054104924202,-0.05595054104924202,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,-0.06977766752243042,-0.06977766752243042,-0.06977766752243042,-0.06977766752243042,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,-0.07112905740737915,-0.07118536531925201,-0.07118536531925201,-0.07118536531925201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,-0.0391939923995071,-0.042898308485746384,-0.042898308485746384,-0.03456359729170799,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,-0.07118536531925201,-0.07118536531925201,-0.07118536531925201,-0.07118536531925201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,-0.03456359729170799,-0.03456359729170799,-0.03456359729170799,-0.03456359729170799,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,-0.053561981767416,-0.053561981767416,-0.053561981767416,-0.053561981767416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,-0.061764022843404244,-0.07160647213459015,-0.053561981767416,-0.053561981767416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,412356.0,4206058.25,-0.03075911998748779,-0.03456359729170799,-0.028710555285215378,-0.028710555285215378,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,412251.96875,4206058.75,-0.07160647213459015,-0.07160647213459015,-0.07160647213459015,-0.07160647213459015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,412201.578125,4206059.0,-0.05595054104924202,-0.05595054104924202,-0.05595054104924202,-0.05595054104924202,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,412304.84375,4206059.25,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,-0.05643485113978386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,412373.859375,4206060.5,-0.03217004984617233,-0.03217004984617233,-0.03217004984617233,-0.03217004984617233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,412209.921875,4206060.75,-0.05595054104924202,-0.05595054104924202,-0.05595054104924202,-0.05595054104924202,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,412322.234375,4206061.25,-0.05638694603528295,-0.05863505229353905,-0.05863505229353905,-0.05863505229353905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,412219.40625,4206061.75,-0.05536849796772003,-0.05536849796772003,-0.05536849796772003,-0.05536849796772003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,412277.859375,4206062.75,-0.07092942026528445,-0.07118536531925201,-0.07118536531925201,-0.07118536531925201,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,412175.421875,4206062.75,-0.04578240588307381,-0.04578240588307381,-0.04578240588307381,-0.04578240588307381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,412381.9375,4206063.0,-0.03217004984617233,-0.03217004984617233,-0.03217004984617233,-0.03217004984617233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,412338.875,4206063.0,-0.03963689975764441,-0.042898308485746384,-0.042898308485746384,-0.03456359729170799,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,412330.75,4206063.25,-0.042898308485746384,-0.042898308485746384,-0.042898308485746384,-0.042898308485746384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,412226.59375,4206063.75,-0.05536849796772003,-0.05536849796772003,-0.05536849796772003,-0.05536849796772003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,412234.75,4206065.25,-0.05358759991147301,-0.053561981767416,-0.053561981767416,-0.053561981767416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,412399.0625,4206065.25,-0.03061561421914534,-0.03647070378065109,-0.02573637291789055,-0.02573637291789055,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,412407.578125,4206065.5,-0.03785260609136178,-0.04632296785712242,-0.033368296921253204,-0.033368296921253204,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,412390.71875,4206065.5,-0.03084795904301462,-0.03647070378065109,-0.02573637291789055,-0.02573637291789055,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,412347.421875,4206066.0,-0.04324801532285554,-0.0497613288462162,-0.0497613288462162,-0.03456359729170799,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,412192.0,4206067.25,-0.06078973980177016,-0.06195593625307083,-0.05972956120967865,-0.05972956120967865,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,412241.671875,4206067.75,-0.05365121830254793,-0.05367470160126686,-0.05367470160126686,-0.05367470160126686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,412416.65625,4206067.75,-0.03482434827656973,-0.033368296921253204,-0.033368296921253204,-0.033368296921253204,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,412356.65625,4206068.0,-0.04294531047344208,-0.04521731659770012,-0.040673304349184036,-0.040673304349184036,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,412251.609375,4206068.25,-0.07742679864168167,-0.07742679864168167,-0.07742679864168167,-0.07742679864168167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,412425.90625,4206068.75,-0.04865683615207672,-0.04865683615207672,-0.04865683615207672,-0.04865683615207672,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,412260.296875,4206069.0,-0.07709286957979201,-0.07742679864168167,-0.07742679864168167,-0.07659197598695755,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,412208.484375,4206069.75,-0.05275358632206917,-0.05275358632206917,-0.05275358632206917,-0.05275358632206917,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,412225.890625,4206070.25,-0.05810704827308655,-0.05810704827308655,-0.05810704827308655,-0.05810704827308655,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,412168.40625,4206070.5,-0.05778460424732078,-0.05748015269637108,-0.05748015269637108,-0.05748015269637108,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,412381.671875,4206070.75,-0.04019640013575554,-0.04019640013575554,-0.04019640013575554,-0.04019640013575554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130,412321.28125,4206070.75,-0.07376381009817123,-0.07376381009817123,-0.07376381009817123,-0.07376381009817123,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,412435.0625,4206071.25,-0.04970692936331034,-0.05027236416935921,-0.05027236416935921,-0.04865683615207672,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,412218.4375,4206071.25,-0.05810704827308655,-0.05810704827308655,-0.05810704827308655,-0.05810704827308655,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,412268.28125,4206071.75,-0.07659197598695755,-0.07659197598695755,-0.07659197598695755,-0.07659197598695755,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,412329.859375,4206071.75,-0.05630306899547577,-0.05630306899547577,-0.05630306899547577,-0.05630306899547577,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,412276.796875,4206072.25,-0.08391746491193773,-0.08967320621013641,-0.08967320621013641,-0.07659197598695755,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,412442.328125,4206072.5,-0.05027236416935921,-0.05027236416935921,-0.05027236416935921,-0.05027236416935921,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,412234.6875,4206072.75,-0.05367470160126686,-0.05367470160126686,-0.05367470160126686,-0.05367470160126686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,412389.34375,4206072.75,-0.02642494564255079,-0.02573637291789055,-0.02573637291789055,-0.02573637291789055,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,412338.546875,4206073.25,-0.054518958045677704,-0.05630306899547577,-0.05630306899547577,-0.0497613288462162,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,412182.0625,4206073.75,-0.058658414298579806,-0.05972956120967865,-0.05972956120967865,-0.05748015269637108,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,412399.40625,4206074.5,-0.02573637291789055,-0.02573637291789055,-0.02573637291789055,-0.02573637291789055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,412462.03125,4206074.75,-0.050237901508808136,-0.050237901508808136,-0.050237901508808136,-0.050237901508808136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,412452.09375,4206075.0,-0.05024077339718739,-0.050237901508808136,-0.050237901508808136,-0.050237901508808136,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,412346.0,4206075.25,-0.0497613288462162,-0.0497613288462162,-0.0497613288462162,-0.0497613288462162,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,412250.546875,4206075.75,-0.07742679864168167,-0.07742679864168167,-0.07742679864168167,-0.07742679864168167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,412241.5,4206076.25,-0.05367470160126686,-0.05367470160126686,-0.05367470160126686,-0.05367470160126686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,412407.921875,4206076.5,-0.033368296921253204,-0.033368296921253204,-0.033368296921253204,-0.033368296921253204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,412208.75,4206076.5,-0.05275358632206917,-0.05275358632206917,-0.05275358632206917,-0.05275358632206917,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,412469.296875,4206077.0,-0.05116158351302147,-0.05116158351302147,-0.05116158351302147,-0.05116158351302147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,412415.375,4206077.25,-0.033368296921253204,-0.033368296921253204,-0.033368296921253204,-0.033368296921253204,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,412424.0625,4206077.25,-0.04865683615207672,-0.04865683615207672,-0.04865683615207672,-0.04865683615207672,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,412309.453125,4206078.0,-0.07526844553649426,-0.07677308097481728,-0.07376381009817123,-0.07376381009817123,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,412303.59375,4206078.0,-0.07978235185146332,-0.07978235185146332,-0.07978235185146332,-0.07978235185146332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,412478.0,4206078.25,-0.05116158351302147,-0.05116158351302147,-0.05116158351302147,-0.05116158351302147,"{""type"":""MultiPoint"",""coordinates"":[]}"
