system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.10367178372465646,0.10284295678138733,0.10284295678138733,0.10284295678138733,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.09620121121406555,0.09620121121406555,0.09620121121406555,0.09620121121406555,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.11058892174200578,0.1025308221578598,0.1173040047287941,0.1173040047287941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.1173040047287941,0.1173040047287941,0.1173040047287941,0.1173040047287941,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.10783004015684128,0.10783004015684128,0.10783004015684128,0.10783004015684128,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.11183825593728285,0.10783004015684128,0.10783004015684128,0.1173040047287941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.1020289808511734,0.09622792154550552,0.1020289808511734,0.10783004015684128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.09620121121406555,0.09620121121406555,0.09620121121406555,0.09620121121406555,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.10534476169518062,0.1025308221578598,0.1025308221578598,0.1025308221578598,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.09622792154550552,0.09622792154550552,0.09622792154550552,0.09622792154550552,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.09008702706722986,0.08816176652908325,0.08816176652908325,0.08816176652908325,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.11114592775702477,0.10783004015684128,0.10783004015684128,0.1173040047287941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.1166037463329055,0.1173040047287941,0.1173040047287941,0.1173040047287941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.10176602533708015,0.09861662238836288,0.10306283831596375,0.10306283831596375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.102608023583889,0.10217171907424927,0.10284295678138733,0.10284295678138733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.10252331977798824,0.10217171907424927,0.10284295678138733,0.10284295678138733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.10271673619747161,0.08816176652908325,0.10837700217962265,0.10837700217962265,"{""type"":""MultiPoint"",""coordinates"":[]}"
