system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,0.16107693715737417,0.16601036489009857,0.16601036489009857,0.16601036489009857,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,0.16542088985443115,0.16542088985443115,0.16542088985443115,0.16542088985443115,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,0.12405428154902025,0.11563857644796371,0.11563857644796371,0.13415312767028809,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,0.11563857644796371,0.11563857644796371,0.11563857644796371,0.11563857644796371,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,0.11462654173374176,0.11462654173374176,0.11462654173374176,0.11462654173374176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,0.11505471026668182,0.11462654173374176,0.11462654173374176,0.11563857644796371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,0.11110569536685942,0.10758484899997711,0.11110569536685944,0.11462654173374176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,0.16542088985443115,0.16542088985443115,0.16542088985443115,0.16542088985443115,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,0.13062654648508346,0.13415312767028809,0.13415312767028809,0.13415312767028809,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,0.10758484899997711,0.10758484899997711,0.10758484899997711,0.10758484899997711,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,0.10500144745622361,0.10513138771057129,0.10513138771057129,0.10513138771057129,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,412229.59375,4206044.75,0.11498075388371945,0.11462654173374176,0.11462654173374176,0.11563857644796371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412218.953125,4206045.0,0.1158683943477544,0.11563857644796371,0.11563857644796371,0.11563857644796371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,412270.34375,4206045.0,0.10808383735517661,0.10731204599142075,0.10840163379907608,0.10840163379907608,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412171.953125,4206046.25,0.165841756016016,0.16552862524986267,0.16601036489009857,0.16601036489009857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,412177.453125,4206047.0,0.16578096506141482,0.16552862524986267,0.16601036489009857,0.16601036489009857,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,412288.6875,4206047.25,0.10414903938770295,0.1037670150399208,0.1037670150399208,0.10513138771057129,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,412236.0625,4206048.25,0.11048173023895784,0.11028435826301575,0.11028435826301575,0.11028435826301575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,412297.390625,4206049.0,0.09898540377616882,0.09898540377616882,0.09898540377616882,0.09898540377616882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,412193.59375,4206050.0,0.16744841635227203,0.16744841635227203,0.16744841635227203,0.16744841635227203,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,412305.375,4206050.25,0.09898540377616882,0.09898540377616882,0.09898540377616882,0.09898540377616882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,412202.8125,4206050.5,0.14229044318199158,0.14229044318199158,0.14229044318199158,0.14229044318199158,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,412263.140625,4206051.5,0.10731204599142075,0.10731204599142075,0.10731204599142075,0.10731204599142075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,412278.9375,4206055.0,0.10390881627798079,0.1037670150399208,0.1037670150399208,0.1037670150399208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,412339.25,4206056.25,0.10330335630310906,0.10078835487365723,0.10078835487365723,0.10644710808992386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,412287.015625,4206056.25,0.1037670150399208,0.1037670150399208,0.1037670150399208,0.1037670150399208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,412296.3125,4206057.0,0.09898540377616882,0.09898540377616882,0.09898540377616882,0.09898540377616882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,412347.65625,4206057.0,0.10644710808992386,0.10644710808992386,0.10644710808992386,0.10644710808992386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,412235.28125,4206057.25,0.11028435826301575,0.11028435826301575,0.11028435826301575,0.11028435826301575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,412244.703125,4206057.75,0.11087963933294469,0.11028435826301575,0.11028435826301575,0.11159397661685944,"{""type"":""MultiPoint"",""coordinates"":[]}"
