system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,412173.1875,4206028.75,-0.02533619105815887,-0.025779202580451965,-0.025779202580451965,-0.025779202580451965,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,412187.0,4206030.25,-0.04930911213159561,-0.04930911213159561,-0.04930911213159561,-0.04930911213159561,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,412213.375,4206033.75,-0.06680097634142096,-0.07196801155805588,-0.07196801155805588,-0.060600534081459045,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,412220.375,4206035.25,-0.07196801155805588,-0.07196801155805588,-0.07196801155805588,-0.07196801155805588,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,412236.53125,4206037.75,-0.06746295094490051,-0.06746295094490051,-0.06746295094490051,-0.06746295094490051,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,412229.125,4206038.25,-0.06936893812738933,-0.07196801155805588,-0.06746295094490051,-0.06746295094490051,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,412244.6875,4206039.75,-0.07339226827025415,-0.07932158559560776,-0.07339226827025414,-0.06746295094490051,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,412194.65625,4206040.5,-0.04930911213159561,-0.04930911213159561,-0.04930911213159561,-0.04930911213159561,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,412211.53125,4206041.25,-0.0627657678865251,-0.060600534081459045,-0.060600534081459045,-0.060600534081459045,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,412254.125,4206041.25,-0.07932158559560776,-0.07932158559560776,-0.07932158559560776,-0.07932158559560776,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,412280.53125,4206044.5,-0.07352711189360846,-0.07253846526145935,-0.07253846526145935,-0.07253846526145935,"{""type"":""MultiPoint"",""coordinates"":[]}"
